Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,3.5728,-2.31654,-557.233,-42313.1,-7227.91,644.145,121.029,-181.066,-2,0,0,0,0,0,0,226,252,-3,-0.00305176,-0.00189209,0.00311279,0.00982666,0.00146484,0.000244141,6.10352e-005,0.000305176,0.000793457,0.0010376
1,1,3.91901,-2.44155,-558.797,-42299.5,-7184.07,609.888,121.144,-181.303,-2,0,0,0,0,0,0,226,252,-3,-0.00201416,0.000793457,0.00231934,0.00195313,0.000305176,0.0022583,0.000183105,0.000366211,0.00012207,0.000549316
1,2,3.66317,-2.71082,-556.712,-42367.3,-7269.19,644.135,120.943,-180.897,-2,0,0,0,0,0,0,226,252,-3,-0.000610352,0.00445557,-0.000610352,0.00341797,-0.000366211,0.00012207,6.10352e-005,0.000549316,6.10352e-005,0.000549316
1,3,3.65735,-2.22628,-558.792,-42501.6,-7213.25,661.163,121.091,-180.94,-2,0,0,0,0,0,0,226,252,-3,0.00152588,0.00793457,0.00158691,0.0100098,0.000915527,-6.10352e-005,0.000549316,0.000244141,0.000244141,0.000793457
1,4,3.78767,-2.27047,-557.409,-42176.9,-7083.59,636.109,121.292,-181.334,-2,0,0,0,0,0,0,226,252,-3,0.00177002,0.0078125,0.00109863,0.00836182,6.10352e-005,0.000183105,0.000244141,0.000244141,0.000183105,0.000610352
1,5,3.749,-2.58183,-557.055,-42514.7,-7235.12,609.56,121.012,-180.68,-2,0,0,0,0,0,0,226,252,-3,0.00268555,0.00628662,0.000671387,0.00854492,0.00012207,6.10352e-005,-6.10352e-005,0,0.000305176,0.000915527
1,6,3.83465,-2.32133,-557.051,-42580,-7239.34,583.641,121.004,-180.562,-2,0,0,0,0,0,0,226,252,-3,0.00238037,0.00683594,-0.0012207,0.00689697,0.000854492,0.000366211,0.00012207,0.000671387,0.000427246,-0.00012207
1,7,3.66125,-2.53639,-557.407,-42379.2,-7211.62,583.777,121.062,-180.971,-2,0,0,0,0,0,0,226,252,-3,0.0032959,0.00244141,-0.00128174,0.00549316,-0.000610352,0.00012207,0.000427246,0.000183105,0.000549316,-0.000244141
1,8,3.79081,-2.57557,-558.278,-42304.7,-7216.36,575.256,121.074,-181.223,-2,0,0,0,0,0,0,226,252,-3,0.00354004,0.00152588,-0.0012207,0.000427246,0.000183105,-6.10352e-005,-0.00012207,0.000549316,0.000366211,0.000427246
