Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,-0.0972379,0.303122,-562.278,4445.75,44235.3,20.2835,212.672,-264.907,-2,0,0,0,0,0,0,226,252,-3,-0.0272217,-0.0340576,-0.0115967,-0.00286865,0.000610352,0.000854492,0.00109863,0.000549316,-6.10352e-005,0.00604248
1,1,-0.141188,0.263009,-562.976,4519.86,44218.4,28.8757,212.544,-265.029,-2,0,0,0,0,0,0,226,252,-3,-0.0457764,-0.0303955,-0.0165405,0.00231934,0.000976563,-0.000732422,-0.000793457,-6.10352e-005,0.00158691,0.0022583
1,2,0.0335361,0.131096,-562.454,4515.04,44249.6,29.1143,212.672,-265.027,-2,0,0,0,0,0,0,226,252,-3,-0.0636597,-0.0359497,-0.00744629,-0.00567627,-0.000305176,0.000427246,0.0010376,0.000976563,0.000671387,-0.00109863
1,3,-0.0543377,0.261123,-562.625,4424.54,44252.4,46.1887,212.653,-264.864,-2,0,0,0,0,0,0,226,252,-3,-0.0452271,-0.00274658,-0.0020752,-0.0113525,0.0022583,0.000732422,-0.000305176,-0.000244141,0.00231934,0.00274658
1,4,-0.227759,0.267162,-562.977,4595.47,44106.9,123.573,212.346,-265.163,-2,0,0,0,0,0,0,226,252,-3,0.0022583,0.00427246,-0.00311279,-0.0135498,0.000610352,0.000549316,0.000427246,-6.10352e-005,0.000549316,0.000366211
1,5,-0.00942718,0.0445684,-562.28,4511.1,44231.9,80.8293,212.665,-265.023,-2,0,0,0,0,0,0,226,252,-3,0.0587769,0.0294189,-0.00457764,0.00146484,0.0012207,-0.000244141,0.000183105,0.000427246,0.000915527,0.00158691
1,6,-0.267517,0.0822316,-561.062,4417.44,44127.4,80.4067,212.65,-264.873,-2,0,0,0,0,0,0,226,252,-3,0.0606689,0.0256958,-0.00952148,-0.000915527,-6.10352e-005,-0.000183105,0.00134277,0.000427246,0.00128174,0.00286865
1,7,-0.185655,0.394776,-563.148,4486.66,44200.4,63.259,212.488,-264.967,-2,0,0,0,0,0,0,226,252,-3,0.0247192,-0.00769043,-0.00427246,0.0112915,0.00109863,0.000366211,-0.000183105,0,0.000366211,0.000976563
1,8,-0.0107866,0.0849227,-562.796,4264.26,44326.5,63.4534,212.761,-264.577,-2,0,0,0,0,0,0,226,252,-3,-0.0249023,-0.0256958,-0.0010376,0.00421143,0.000610352,0.000366211,0.000732422,0.000549316,0.000793457,-0.000427246
1,9,-0.143191,0.39474,-563.15,4563.53,44294.7,37.6851,212.655,-265.104,-2,0,0,0,0,0,0,226,252,-3,-0.0344849,-0.0471802,0.00952148,-0.00909424,0.000244141,0.000305176,0.000976563,0.000305176,0.0010376,-0.00244141
2,0,-0.140846,0.34887,-563.318,4331.98,44141.2,19.85,212.359,-264.69,-2,0,0,0,0,0,0,226,252,-3,-0.00769043,-0.0447388,0.0170288,-0.00805664,0.000366211,0.00115967,0.0010376,0.000915527,0.00012207,0.00213623
2,1,-0.0543429,0.39175,-562.275,4391.66,44194.3,80.5626,212.599,-264.811,-2,0,0,0,0,0,0,226,252,-3,0.0145874,-0.0148315,0.0167847,-0.00982666,-0.000793457,-0.000183105,0.000976563,-0.000244141,0.00183105,-0.000366211
2,2,0.033584,0.345998,-561.406,4428.82,44209.9,72.1424,212.749,-264.889,-2,0,0,0,0,0,0,226,252,-3,0.0218506,0.036377,0.0153809,-0.00793457,0.000244141,-0.000549316,-0.000915527,0.000244141,0.000305176,0.00274658
2,3,-0.358489,0.392429,-561.929,4448.19,44168.1,166.65,212.601,-264.916,-2,0,0,0,0,0,0,226,252,-3,0.0272827,0.0630493,0.0146484,0.00146484,0.000732422,0.000793457,0.00109863,0.000305176,-0.000305176,0.00286865
2,4,-0.0981729,0.22173,-562.803,4594.38,44235.5,89.438,212.599,-265.163,-2,0,0,0,0,0,0,226,252,-3,0.0478516,0.0106812,0.000549316,0.00506592,-6.10352e-005,6.10352e-005,0.000793457,0.000915527,0.00012207,-0.00140381
2,5,0.119246,0.436358,-562.099,4412.93,44186.9,89.3393,212.611,-264.851,-2,0,0,0,0,0,0,226,252,-3,0.0466919,0.0131836,-0.0055542,0.0227661,-0.000244141,0.00012207,-0.000549316,-0.00128174,-0.00012207,0.00158691
2,6,0.030261,0.655628,-563.141,4364.1,44190.4,54.6194,212.471,-264.75,-2,0,0,0,0,0,0,226,252,-3,0.0252686,0.00970459,-0.00616455,0.0213013,-0.00012207,0.000671387,0.000732422,0.000549316,0.000976563,0.00317383
2,7,-0.0534921,-0.13129,-562.978,4465.67,44368.3,20.59,212.81,-264.932,-2,0,0,0,0,0,0,226,252,-3,0.0114746,0.0184937,-0.0146484,0.0136108,0.00012207,-0.00012207,6.10352e-005,0.000305176,0.000732422,-0.0010376
2,8,0.204508,0.566241,-562.616,4265.41,44240,72.0457,212.633,-264.581,-2,0,0,0,0,0,0,226,252,-3,-0.00640869,0.0196533,-0.0143433,0.00714111,0.000488281,0.000549316,0.000610352,0.000366211,0.00256348,0.00238037
2,9,0.337797,0.217289,-562.791,4212.83,44178.2,37.4592,212.498,-264.486,-2,0,0,0,0,0,0,226,252,-3,-0.0165405,0.00994873,-0.00622559,0.00878906,6.10352e-005,0.000671387,0.000732422,6.10352e-005,-0.000366211,0.00219727
3,0,-0.359186,0.131997,-563.497,4398.74,44284.1,89.0807,212.588,-264.806,-2,0,0,0,0,0,0,226,252,-3,-0.0213623,-0.00311279,-0.00262451,0.00250244,-0.00012207,6.10352e-005,0.000305176,0.000427246,0.00213623,0.00341797
3,1,-0.0581926,0.566842,-562.797,4418.05,44385.1,80.9302,212.865,-264.85,-2,0,0,0,0,0,0,226,252,-3,-0.0219116,-0.00866699,-0.00183105,0.000366211,-0.000366211,0.000549316,0.00152588,0.000549316,0.000793457,-0.00134277
3,2,-0.00996193,0.345304,-561.404,4352.11,44211.1,97.9124,212.751,-264.752,-2,0,0,0,0,0,0,226,252,-3,-0.0218506,-0.00805664,-0.000671387,0.000366211,-0.0012207,-0.000183105,-0.000549316,-0.000183105,0.00201416,0.00354004
3,3,-0.270586,0.21269,-561.93,4346.33,44280.1,46.0536,212.8,-264.735,-2,0,0,0,0,0,0,226,252,-3,-0.0210571,-0.00701904,0.00524902,6.10352e-005,-0.00439453,0.000366211,0.00146484,0.000671387,0.000427246,0.00323486
3,4,-0.313419,0.170321,-562.104,4363.32,44224.8,54.544,212.677,-264.762,-2,0,0,0,0,0,0,226,252,-3,-0.0205078,-0.00866699,0.0134888,0.000244141,-0.00292969,-0.000427246,-0.000671387,-6.10352e-005,0.00140381,0.00109863
3,5,-0.0551567,0.217948,-562.627,4460.99,44328.8,63.645,212.789,-264.929,-2,0,0,0,0,0,0,226,252,-3,-0.0198975,-0.00695801,0.00793457,0.000305176,-0.00268555,0.0012207,0.00115967,0.000793457,-0.000244141,0.00189209
3,6,-0.357969,0.252519,-561.232,4252.73,44359.1,80.6102,213.039,-264.578,-2,0,0,0,0,0,0,226,252,-3,-0.0195923,-0.00665283,-0.00372314,0.000488281,-0.000488281,-0.000427246,-0.000488281,-0.000183105,0.00134277,0.00152588
3,7,-0.316467,0.390717,-562.277,4391.15,44300.2,123.724,212.787,-264.81,-2,0,0,0,0,0,0,226,252,-3,-0.019104,-0.00653076,-0.0176392,6.10352e-005,-0.00115967,0.00012207,0.0010376,0.000366211,-0.000793457,0.00158691
3,8,0.0778713,0.217175,-562.621,4327.23,44132.3,28.6802,212.44,-264.691,-2,0,0,0,0,0,0,226,252,-3,-0.0283813,-0.038269,-0.0115356,-0.00238037,-0.00012207,-0.000549316,0.000244141,6.10352e-005,-0.000183105,0.00378418
3,9,-0.313797,0.299941,-561.578,4273.08,44204.3,114.83,212.714,-264.609,-2,0,0,0,0,0,0,226,252,-3,-0.0165405,-0.0494385,-0.00952148,0.00146484,-0.000671387,-0.000549316,-6.10352e-005,0.000549316,0.00164795,0.00158691
4,0,-0.704532,0.426984,-562.101,4201.59,44163.7,19.4165,212.569,-264.475,-2,0,0,0,0,0,0,226,252,-3,0.0114746,-0.00994873,-0.00201416,0.0188599,0.00140381,-0.000610352,0.000610352,0.000488281,0.00134277,0.00158691
4,1,-0.0533124,0.173567,-562.796,4305.86,44194.7,63.1893,212.527,-264.651,-2,0,0,0,0,0,0,226,252,-3,0.0322876,0.0205078,0.000183105,0.00982666,0.00231934,0.000488281,0.000244141,-0.000244141,0.000671387,0.00244141
4,2,-0.0952419,0.257653,-561.234,4444.22,44158.4,54.7196,212.681,-264.919,-2,0,0,0,0,0,0,226,252,-3,0.0255737,0.0217285,0.00189209,0.015564,0.00140381,-0.00012207,0.000671387,0,0,0.0022583
4,3,-0.576347,0.515096,-562.099,4205.41,44272.4,54.2472,212.763,-264.482,-2,0,0,0,0,0,0,226,252,-3,0.0158691,0.013916,0.00482178,0.0195313,0.000915527,-0.000366211,0.00012207,0.000793457,0.00195313,-0.00134277
4,4,-0.74728,0.125754,-562.105,4283.74,44165.5,131.665,212.572,-264.621,-2,0,0,0,0,0,0,226,252,-3,-0.00866699,-0.0101929,0.00811768,0.0183716,0.00109863,-0.000549316,0.000671387,0.000305176,0.0012207,0.00372314
4,5,-0.313192,0.387336,-562.096,4161.64,44089.4,88.5411,212.438,-264.404,-2,0,0,0,0,0,0,226,252,-3,-0.0377197,-0.00238037,0.0106201,0.00872803,0.000854492,-0.000305176,-0.000671387,-0.000305176,0.00140381,0.00213623
