Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,1.16718,-0.594235,-563.351,59227,-1639.87,297.597,131.089,-362.133,-2,0,0,0,0,0,0,226,252,-3,0.000183105,-0.0198364,-0.00866699,0.012146,-0.00158691,-0.000244141,-0.00012207,0.000610352,0.00256348,0.00177002
1,1,0.728309,-0.204262,-563.177,59223.6,-1470.54,357.995,131.389,-362.16,-2,0,0,0,0,0,0,226,252,-3,-0.00543213,-0.000183105,-0.0147705,0.0100098,0.00152588,0.000549316,0.000976563,0.00012207,-0.000976563,0.00152588
1,2,1.38215,-0.284353,-563.693,59201.1,-1707.62,375.195,130.971,-362.024,-2,0,0,0,0,0,0,226,252,-3,0.0067749,-0.00793457,-0.0169067,0.00140381,0.000610352,0.000305176,0.000427246,0.000976563,0.000244141,0.000427246
1,3,0.820324,-0.337724,-562.311,59334,-1682.39,228.402,131.008,-362.518,-2,0,0,0,0,0,0,226,252,-3,-0.0113525,0.0272217,-0.0161133,-0.00585938,-0.000732422,0,0.00177002,0.00012207,0.0010376,0.00164795
1,4,0.991233,-0.333055,-562.482,59314.3,-1576.57,384.02,131.197,-362.451,-2,0,0,0,0,0,0,226,252,-3,-0.0250854,0.0328369,-0.015564,-0.0078125,-0.000976563,0.000427246,0.000488281,0.000549316,0.000610352,0.00177002
1,5,0.907701,-0.684212,-562.657,59204,-1648.59,340.558,131.07,-362.222,-2,0,0,0,0,0,0,226,252,-3,-0.0303955,0.00189209,-0.00201416,-0.0124512,-0.00158691,-6.10352e-005,-0.00012207,0,-0.000244141,0.00274658
1,6,1.03236,-0.199265,-564.911,59089.2,-1597.54,314.542,131.172,-361.599,-2,0,0,0,0,0,0,226,252,-3,-0.0245972,-0.000732422,0.00543213,-0.00994873,-0.000549316,0.000610352,0.00177002,0.000671387,0.000488281,0.000427246
1,7,0.599215,0.0109082,-562.656,59290.5,-1579.18,271.491,131.193,-362.376,-2,0,0,0,0,0,0,226,252,-3,-0.0153198,-0.0238037,0.00457764,0.00238037,-0.00183105,0.00012207,-0.000427246,0.00012207,0.00109863,0.00390625
1,8,0.9035,-0.0776635,-561.959,59268.7,-1496.48,280.553,131.337,-362.468,-2,0,0,0,0,0,0,226,252,-3,0.0137939,-0.0325928,0.00610352,-0.00439453,-0.00012207,-0.000427246,0.000366211,0.00115967,0.000976563,0.00317383
1,9,0.904122,-0.290943,-563.349,59162.8,-1592.03,323.29,131.174,-362.02,-2,0,0,0,0,0,0,226,252,-3,0.0133057,-0.00653076,0.00793457,-0.00372314,0.00146484,-0.00012207,0.000183105,0.000732422,0.000488281,0.00177002
2,0,0.904744,-0.293163,-562.657,59278.3,-1553.01,271.782,131.24,-362.354,-2,0,0,0,0,0,0,226,252,-3,0.0133057,0.0272827,0.00811768,-0.00390625,-0.000793457,0.000366211,-0.000549316,0.000793457,0.00134277,0.00280762
2,1,1.37995,-0.376727,-563.003,59294.4,-1362.92,315.668,131.579,-362.318,-2,0,0,0,0,0,0,226,252,-3,0.0128174,0.0132446,0.00463867,-0.00354004,-0.00012207,0.000244141,-0.000305176,0.00012207,0.000610352,0.00323486
2,2,0.818078,-0.337107,-562.827,59122.8,-1588.69,331.86,131.177,-362.046,-2,0,0,0,0,0,0,226,252,-3,0.0130615,0.0269165,-0.000610352,-0.00402832,-0.0010376,0.000366211,0.000610352,0.000732422,-0.000366211,0.0020752
2,3,0.5549,-0.465959,-564.051,59212.2,-1404.92,314.8,131.509,-361.977,-2,0,0,0,0,0,0,226,252,-3,0.012207,0.0281372,-0.0045166,-0.00317383,-0.0012207,6.10352e-005,0.000793457,6.10352e-005,0.000183105,0.00189209
2,4,0.7287,-0.0772252,-562.826,59114.7,-1490.05,314.713,131.353,-362.032,-2,0,0,0,0,0,0,226,252,-3,0.0126343,-0.0110474,0.00152588,-0.003479,-0.00286865,-0.000183105,-6.10352e-005,0.000366211,0.00299072,0.00366211
2,5,0.686876,-0.161838,-562.138,59398.1,-1563.46,323.528,131.219,-362.665,-2,0,0,0,0,0,0,226,252,-3,0.0375366,0.0266113,0.00354004,-0.0078125,-0.000427246,-0.000610352,-0.000305176,-0.000244141,0.00109863,0.00286865
2,6,0.816061,-0.0767711,-562.481,59249.1,-1492.84,280.434,131.346,-362.335,-2,0,0,0,0,0,0,226,252,-3,0.0203247,0.0299072,-0.000610352,-0.00872803,0.00012207,0.000366211,0.000793457,0.000549316,-0.00146484,0.000549316
2,7,0.642023,-0.246523,-563.012,59509,-1465.01,289.247,131.398,-362.698,-2,0,0,0,0,0,0,226,252,-3,0.00579834,0.0453491,0.000488281,0.012085,0.000183105,-0.000610352,0,-0.000427246,0.000793457,0.00213623
2,8,0.904618,-0.338522,-562.308,59219.2,-1496.2,297.748,131.339,-362.315,-2,0,0,0,0,0,0,226,252,-3,-0.00494385,0.0206299,-0.00494385,0.0202637,-0.00012207,0.000610352,0.000610352,0.00128174,-0.000366211,0
2,9,0.94731,-0.117919,-562.484,59381.5,-1554.64,254.669,131.236,-362.57,-2,0,0,0,0,0,0,226,252,-3,-0.0131836,0.00408936,0.00170898,0.0135498,0.000915527,-6.10352e-005,0.00012207,-0.000244141,0.000976563,0.00280762
3,0,0.339325,-0.297219,-562.309,59143.2,-1492.9,366.269,131.345,-362.179,-2,0,0,0,0,0,0,226,252,-3,-0.0193481,-0.0266724,0.00543213,-0.00708008,0.000305176,0.000549316,0.0012207,0.000305176,0.000671387,0.000915527
3,1,0.991614,-0.426286,-562.827,59081.7,-1480.84,280.404,131.369,-361.973,-2,0,0,0,0,0,0,226,252,-3,-0.020752,-0.0437622,0.00469971,-0.0172729,0.000549316,-0.00012207,0.000183105,-6.10352e-005,0.000976563,0.00317383
3,2,0.687652,-0.337371,-562.485,59295.2,-1544.18,306.185,131.255,-362.416,-2,0,0,0,0,0,0,226,252,-3,-0.0106812,-0.0425415,-0.00256348,-0.0203857,0.00140381,-0.000366211,0,0.000366211,0.00213623,0.00152588
3,3,0.730964,-0.345278,-561.611,59066.7,-1394.14,280.457,131.518,-362.174,-2,0,0,0,0,0,0,226,252,-3,-0.00817871,-0.0183105,-0.00817871,-0.0211792,0.00164795,0.000183105,0.000793457,0.000244141,-0.000244141,0.000671387
3,4,0.556425,-0.163576,-562.309,59263.8,-1558.74,340.535,131.228,-362.394,-2,0,0,0,0,0,0,226,252,-3,0.00524902,0.0147095,-0.012207,-0.0323486,0.00115967,0.000183105,0.0010376,0.000488281,-0.000793457,0
3,5,1.07865,-0.339867,-562.131,59143.3,-1484.53,280.576,131.359,-362.213,-2,0,0,0,0,0,0,226,252,-3,-0.00012207,0.0117798,-0.0134277,-0.00549316,0.00231934,0.000610352,0.000793457,6.10352e-005,0.00164795,0.000427246
3,6,0.989267,-0.205515,-563.004,59282.1,-1422.99,263.457,131.473,-362.296,-2,0,0,0,0,0,0,226,252,-3,-0.00915527,0.017334,-0.000793457,0.0296021,0.000610352,-0.000244141,-0.000793457,0.000488281,0.00152588,-0.00170898
3,7,1.20796,-0.59901,-563.174,59036.3,-1375.36,315.232,131.558,-361.828,-2,0,0,0,0,0,0,226,252,-3,-0.015564,-0.0145264,0.00415039,0.0158081,-0.00012207,6.10352e-005,0.000854492,0.00012207,-6.10352e-005,0.00140381
3,8,0.862521,-0.167292,-561.263,59227,-1590.28,280.342,131.167,-362.525,-2,0,0,0,0,0,0,226,252,-3,-0.0132446,-0.0300903,0.00842285,0.00866699,0.000305176,0.000915527,0.00140381,0.000854492,0.000427246,0.000915527
3,9,0.294506,0.0070806,-562.312,59290.4,-1471.06,262.884,131.384,-362.44,-2,0,0,0,0,0,0,226,252,-3,0.0032959,-0.0150757,0.0123291,0.0346069,0.0010376,-0.000610352,-0.000305176,0.00012207,0.000854492,0.00140381
4,0,0.597401,-0.251367,-563.527,59183.8,-1349.74,271.798,131.605,-362.024,-2,0,0,0,0,0,0,226,252,-3,0.015564,-0.0055542,0.0147095,0.0384521,-0.00012207,0.000244141,0.000183105,0.000427246,-0.00012207,0.00177002
4,1,0.772268,-0.163718,-563.175,59130.3,-1472.19,288.894,131.386,-361.995,-2,0,0,0,0,0,0,226,252,-3,0.0185547,0.00823975,0.0205688,0.017395,-0.00109863,0.000244141,0.000915527,0.00012207,0.000549316,-0.000976563
4,2,1.25157,-0.251153,-561.61,59243,-1453.77,315.425,131.411,-362.488,-2,0,0,0,0,0,0,226,252,-3,0.0067749,0.0355225,0.0150757,0.00390625,-0.000671387,0.000549316,0.000183105,0.000793457,0.00183105,0.0022583
4,3,0.600622,-0.342332,-562.308,59123.3,-1464.71,280.223,131.395,-362.144,-2,0,0,0,0,0,0,226,252,-3,-0.0223389,0.0152588,0.010437,-0.000976563,-0.000244141,6.10352e-005,0.000427246,0.000305176,-0.000976563,0.000366211
4,4,0.601471,-0.259796,-561.262,59051.1,-1465.35,271.588,131.389,-362.211,-2,0,0,0,0,0,0,226,252,-3,-0.0335693,-0.0250244,0.000671387,-0.00701904,-0.00201416,0.000244141,0.000610352,0.00012207,0.000305176,0.0020752
4,5,0.600349,-0.340039,-563.004,59122.9,-1502.67,271.464,131.331,-362.013,-2,0,0,0,0,0,0,226,252,-3,-0.0296021,-0.0427246,-0.0090332,0.00384521,-0.00109863,0.000244141,0.000854492,-0.000244141,0.000366211,0
4,6,0.512527,-0.256887,-562.308,59107.9,-1384.82,263.043,131.537,-362.117,-2,0,0,0,0,0,0,226,252,-3,-0.0175781,-0.0263672,-0.0115967,0.0148926,0.00012207,0,0.000671387,6.10352e-005,0.00201416,0.00152588
4,7,0.510468,-0.0345971,-563.003,59154.5,-1423.47,297.457,131.472,-362.07,-2,0,0,0,0,0,0,226,252,-3,0.0245972,-0.0366821,-0.0142212,0.00744629,0.000305176,0.000671387,0.00128174,-0.000183105,-0.000244141,-0.00115967
