Devices
1000
,,AMTI OR6 Series Force Plate - Force,,,AMTI OR6 Series Force Plate - Moment,,,AMTI OR6 Series Force Plate - CoP,,,Analog EMG - Voltage,,,,,,,,,,AMTI OR6 Series Force Plate - Force,,,AMTI OR6 Series Force Plate - Moment,,,AMTI OR6 Series Force Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,RFEM,LFEM,LHAM,RHAM,LTIB,RTIB,7,LGAS,RGAS,10,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,1.9553,-1.0729,-565.304,-43100,54684.6,56.7959,230.735,-180.758,-3,0.00274658,6.10352e-005,-0.00238037,0.00537109,-0.003479,0.000427246,0.000274658,0,0.000427246,0.000793457,0,0,0,0,0,0,226,252,-3
1,1,1.73654,-0.719068,-565.137,-42722.5,54598.8,65.4867,230.612,-181.403,-3,0.00216675,-0.00158691,0.00396729,0.00402832,-0.00445557,0.000549316,0.000213623,0.000366211,0.000732422,0.000579834,0,0,0,0,0,0,226,252,-3
1,2,0.868274,-0.340114,-563.218,-43051.2,54555.3,133.527,230.863,-180.562,-3,0.00274658,-0.00115967,0.0114746,0.00195313,-0.00378418,0.000305176,0.000335693,0.000305176,0.000427246,0.000793457,0,0,0,0,0,0,226,252,-3
1,3,1.08407,-1.02174,-566.705,-42871.9,54625.1,194.212,230.391,-181.349,-3,0.000335693,-0.000183105,0.0126953,0.00219727,-0.00317383,-6.10352e-005,0.000549316,0.000183105,0.000305176,0.000732422,0,0,0,0,0,0,226,252,-3
1,4,1.17229,-0.723693,-564.092,-42895.9,54581.7,220.223,230.76,-180.956,-3,-0.00134277,-0.000915527,0.0116577,0.00274658,-0.00390625,0.000183105,0.000305176,0.000183105,0.000244141,0.000915527,0,0,0,0,0,0,226,252,-3
1,5,1.82146,-0.501024,-565.478,-42885.8,54612.9,99.8711,230.578,-181.16,-3,-0.00183105,-0.00012207,0.00689697,-0.00390625,-0.00390625,0.000183105,0.000152588,0.00012207,0.000427246,0.000488281,0,0,0,0,0,0,226,252,-3
1,6,1.26031,-0.725312,-565.127,-43221.4,54462.9,167.839,230.373,-180.519,-3,-0.00256348,0.000488281,0.00396729,-0.003479,-0.0043335,0.000610352,0.000457764,0.00012207,0.000183105,6.10352e-005,0,0,0,0,0,0,226,252,-3
1,7,1.47514,-0.851525,-566.179,-42939.4,54666.5,73.75,230.553,-181.159,-3,-0.00250244,-0.000305176,0.00762939,-0.00366211,-0.00396729,0.000244141,0.000335693,0.000427246,0.00115967,0.000518799,0,0,0,0,0,0,226,252,-3
1,8,1.03798,-0.500877,-566.7,-42945.5,54625.8,150.921,230.393,-181.218,-3,-0.00180054,-0.000183105,0.00769043,-0.0032959,-0.00396729,0.000854492,0.00012207,0.000610352,0.000610352,0.000762939,0,0,0,0,0,0,226,252,-3
1,9,1.00209,-0.519387,-561.825,-43133.9,54492.4,124.897,230.992,-180.225,-3,-0.000518799,0.00128174,0.00524902,-0.00317383,-0.003479,-0.00012207,9.15527e-005,0.000305176,0.0012207,0.000946045,0,0,0,0,0,0,226,252,-3
2,0,1.43024,-0.323204,-567.04,-43014.5,54399.2,124.749,229.935,-181.142,-3,0.000518799,0.000793457,0.000671387,-0.00335693,-0.00360107,0.00012207,0.000915527,6.10352e-005,0.000305176,0.000915527,0,0,0,0,0,0,226,252,-3
2,1,1.34464,-0.723233,-565.308,-42953,54670.9,116.844,230.71,-181.019,-3,0.00146484,0.00012207,-0.00134277,-0.003479,-0.00354004,0.00012207,0.000183105,0.000244141,0.000610352,0.000518799,0,0,0,0,0,0,226,252,-3
2,2,1.34611,-0.808839,-564.613,-42918.7,54574.8,211.652,230.659,-180.986,-3,0.00177002,0.00109863,-0.00262451,0.00537109,0.00402832,-0.000549316,0.000366211,0.00109863,0.000488281,0.000793457,0,0,0,0,0,0,226,252,-3
2,3,0.998901,-0.514226,-563.046,-43000.6,54626.8,133.854,231.02,-180.629,-3,-0.00012207,0.00177002,-0.00671387,0.00280762,0.0055542,0.000366211,0.000244141,0.000427246,0.000427246,0.000823975,0,0,0,0,0,0,226,252,-3
2,4,1.08361,-0.591523,-566.87,-43120.9,54547.9,72.9416,230.226,-180.932,-3,-0.00506592,0.00164795,-0.0132446,-0.000610352,0.00531006,0.000366211,-0.000152588,6.10352e-005,0.000366211,0.000732422,0,0,0,0,0,0,226,252,-3
2,5,1.21603,-0.502773,-565.478,-43002.2,54369.9,150.557,230.149,-180.954,-3,-0.00582886,0.000366211,-0.0108643,0.00354004,0.0057373,-6.10352e-005,-0.000701904,-0.000305176,0.000488281,0.000823975,0,0,0,0,0,0,226,252,-3
2,6,1.30136,-0.717674,-566.174,-43030.9,54499.8,219.844,230.26,-180.997,-3,-0.00518799,0.0010376,-0.00561523,0.0020752,0.00683594,6.10352e-005,0.000549316,0.000793457,0.000305176,0.000946045,0,0,0,0,0,0,226,252,-3
2,7,1.73749,-0.674035,-565.478,-42932,54425.3,142.523,230.247,-181.078,-3,-0.00164795,0.000610352,-0.00115967,-0.000183105,0.00830078,-0.000244141,0.000305176,0.000488281,0.000549316,0.000793457,0,0,0,0,0,0,226,252,-3
2,8,1.04592,-1.07734,-564.267,-43044.1,54511.9,116.295,230.607,-180.717,-3,0.0010376,0.00012207,0.00140381,-0.00817871,0.00866699,6.10352e-005,0.000183105,0.000488281,0.000610352,0.000579834,0,0,0,0,0,0,226,252,-3
2,9,1.65229,-0.937481,-565.652,-43019.6,54429.4,125.12,230.224,-180.947,-3,0.00109863,0.000610352,0.0010376,-0.0179443,0.00976563,0.000671387,9.15527e-005,0.000305176,0.000976563,0.000244141,0,0,0,0,0,0,226,252,-3
3,0,1.09162,-1.16075,-564.79,-42952.5,54320.2,81.4889,230.178,-180.95,-3,0.00146484,-0.000305176,-0.00170898,-0.0179443,0.00982666,-0.00012207,0.000213623,0.000183105,0.000732422,0.000976563,0,0,0,0,0,0,226,252,-3
3,1,1.43548,-0.766414,-564.438,-42897.2,54419.3,116.523,230.413,-181,-3,0.0017395,-0.000793457,-0.0012207,-0.00512695,0.00891113,0.00012207,0.000335693,0.000671387,0.000488281,0.000732422,0,0,0,0,0,0,226,252,-3
3,2,1.64756,-0.24026,-565.471,-43086.2,54465.3,168.223,230.318,-180.805,-3,0.00195313,-0.00109863,-0.00195313,0.00994873,0.0103149,6.10352e-005,0.000183105,0.000305176,0.000488281,0.000854492,0,0,0,0,0,0,226,252,-3
3,3,1.12998,-0.637193,-564.957,-43064.8,54430.7,150.598,230.345,-180.773,-3,0.00112915,-0.000244141,-0.00274658,0.012146,0.0107422,0.000549316,-0.000610352,6.10352e-005,0.000671387,0.000671387,0,0,0,0,0,0,226,252,-3
3,4,1.52234,-0.678253,-565.129,-43008.5,54339,90.3578,230.153,-180.896,-3,0.0022583,-0.000793457,-0.00598145,0.0130005,0.010498,-6.10352e-005,0.000213623,0.000610352,0.000488281,0.000457764,0,0,0,0,0,0,226,252,-3
3,5,1.1732,-0.551713,-564.779,-43175.8,54428.1,159.138,230.371,-180.553,-3,0.00448608,0.000915527,-0.00640869,0.0107422,0.00970459,0,-6.10352e-005,0.000549316,0.000732422,0.000183105,0,0,0,0,0,0,226,252,-3
3,6,1.04342,-0.591621,-564.785,-42967.7,54357.9,185.012,230.245,-180.922,-3,0.00259399,-0.000305176,-0.00396729,0.00823975,0.00756836,0.000244141,0.000244141,0.00012207,0.000366211,0.00131226,0,0,0,0,0,0,226,252,-3
3,7,1.12999,-1.02762,-566.178,-43062.4,54546.7,116.262,230.342,-180.942,-3,0.00350952,0,-0.000915527,0.00140381,0.00726318,-0.000183105,0.000305176,0.000244141,0.000671387,0.00088501,0,0,0,0,0,0,226,252,-3
3,8,1.16982,-0.024684,-564.78,-42962.8,54408.7,167.921,230.336,-180.93,-3,0.00341797,0.000732422,0.00396729,-0.00427246,0.00427246,-0.00012207,0.000152588,0.000427246,0.000488281,0.000610352,0,0,0,0,0,0,226,252,-3
3,9,1.43309,-0.762286,-566.349,-43013,54457.4,116.328,230.155,-181.052,-3,0.00549316,0.00115967,0.0101929,-0.00653076,0.00354004,-0.000305176,0.000427246,0.000183105,0.000732422,0.00128174,0,0,0,0,0,0,226,252,-3
