Trajectories
100
,,S01:WRIST,,,S01:ELBOW,,,S01:SHLDR,,,S01:CHEST,,,S01:RHIP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-28.6841,-121.509,1237.92,119.155,-69.1611,1060.97,281.27,-174.285,1263.69,157.271,-304.07,1228.03,266.045,-187.574,940.785
2,0,-29.0963,-121.655,1239.8,117.912,-69.0387,1062.16,281.125,-174.313,1263.85,157.265,-304.131,1228.11,265.983,-187.561,940.812
3,0,-29.4759,-121.795,1241.68,116.698,-68.9703,1063.38,281.006,-174.334,1264.06,157.297,-304.284,1228.21,265.951,-187.558,940.811
4,0,-29.8039,-121.905,1243.64,115.473,-68.8844,1064.56,280.818,-174.375,1264.23,157.287,-304.421,1228.29,265.889,-187.529,940.802
5,0,-30.1412,-122.022,1245.5,114.323,-68.8344,1065.75,280.666,-174.367,1264.45,157.231,-304.603,1228.36,265.867,-187.471,940.823
6,0,-30.5875,-122.16,1247.39,113.058,-68.7852,1066.99,280.573,-174.44,1264.67,157.218,-304.771,1228.42,265.763,-187.467,940.846
7,0,-31.0167,-122.215,1249.24,111.927,-68.682,1068.19,280.427,-174.57,1264.9,157.19,-304.911,1228.51,265.733,-187.406,940.837
8,0,-31.4355,-122.402,1251.17,110.792,-68.6903,1069.45,280.236,-174.594,1265.1,157.096,-305.104,1228.5,265.689,-187.376,940.873
9,0,-31.7367,-122.435,1252.96,109.592,-68.5872,1070.69,280.137,-174.642,1265.32,157.148,-305.369,1228.56,265.647,-187.311,940.869
10,0,-32.1816,-122.544,1254.77,108.549,-68.6074,1071.88,279.974,-174.692,1265.55,157.122,-305.466,1228.74,265.584,-187.284,940.852
11,0,-32.6261,-122.712,1256.57,107.306,-68.5698,1073.15,279.867,-174.739,1265.75,157.099,-305.683,1228.72,265.535,-187.254,940.852
12,0,-33.1858,-122.818,1258.41,106.378,-68.569,1074.35,279.689,-174.803,1265.99,157.056,-305.796,1228.81,265.542,-187.229,940.85
13,0,-33.5428,-123.01,1260.16,105.089,-68.5293,1075.61,279.57,-174.934,1266.22,157.052,-305.979,1228.85,265.476,-187.188,940.881
14,0,-33.8998,-123.137,1261.9,104.243,-68.5915,1076.86,279.43,-175.09,1266.44,157.016,-306.137,1228.91,265.511,-187.15,940.861
15,0,-34.3396,-123.297,1263.66,103.064,-68.3998,1078.08,279.271,-175.251,1266.69,156.972,-306.33,1229.03,265.458,-187.134,940.868
16,0,-34.6307,-123.431,1265.4,102.117,-68.4543,1079.4,279.219,-175.406,1266.93,156.871,-306.495,1229.1,265.45,-187.131,940.905
