Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,7.24062,1.76031,-82.9002,86457.5,87589.3,9173.23,1190.56,-1299.91,-2,-964.042,-574.326,-593.44,-15506.4,-576707,233857,-745.803,278.13,-3,-0.0198364,-0.0193481,-0.0022583,0.0032959,0.000976563,-0.000183105,0.000366211,6.10352e-005,0.000732422,0.0032959
1,1,7.54953,1.54458,-80.8179,86736.3,87386.4,9233.92,1215.28,-1330.23,-2,-964,-573.784,-592.725,-15868,-576863,233857,-747.238,278.771,-3,-0.0131226,0.0148315,0.00396729,0.00744629,0.0012207,-0.00012207,0.000427246,0.000488281,0.00152588,0.00146484
1,2,7.89047,1.98783,-82.5508,86715.8,87523.7,9268.79,1194.24,-1307.45,-2,-963.871,-573.7,-594.281,-15961.3,-576097,233841,-743.401,278.858,-3,-0.0123291,0.00860596,0.00817871,0.00134277,0.00012207,0.000427246,0.000488281,0.00164795,0.000549316,0.00134277
1,3,7.54296,1.85487,-83.4234,86652.3,87577.1,9208.11,1183.79,-1295.71,-2,-963.97,-573.587,-588.883,-16084.4,-576207,233903,-752.475,279.314,-3,-0.0162964,-0.0150146,0.00518799,-0.0103149,0.00170898,0,0.00109863,0.000549316,-0.000427246,0.00170898
1,4,7.50031,2.07304,-82.3769,86661.2,87424.7,9294.12,1195.28,-1309.01,-2,-963.192,-573.902,-600.025,-15939.9,-576705,233802,-735.135,278.565,-3,-0.0178833,-0.034668,0.00469971,-0.0129395,0.000976563,-6.10352e-005,-0.000976563,-0.00012207,0.000366211,0.00366211
1,5,7.76762,1.5007,-81.5052,86466.6,87300.2,9224.93,1205.1,-1317.87,-2,-963.782,-574.319,-593.252,-16006.7,-576756,233839,-746.194,278.981,-3,-0.0167847,-0.0299683,0.00390625,-0.00341797,0.00213623,0.000305176,0.000244141,0,-0.00012207,0.00311279
1,6,7.32839,1.75727,-80.6433,86650,87661.9,9225.6,1221.03,-1331.48,-2,-964.397,-573.378,-593.405,-15868.6,-576826,234114,-746.062,278.742,-3,-0.0103149,-0.0131226,0.00805664,0.0131226,0.000915527,-6.10352e-005,-0.00012207,0.000183105,0.000610352,0.00219727
1,7,7.41466,1.84541,-81.5083,86519.5,87619.8,9199.48,1208.98,-1318.48,-2,-963.728,-571.871,-594.412,-16018.7,-576681,234017,-744.171,278.949,-3,-0.0147705,-0.0244141,0.00408936,0.00482178,0.00183105,0.000183105,0.00109863,0.000793457,0.000488281,0.000549316
1,8,7.76039,2.0299,-83.2434,86564.1,87471.6,9225.22,1184.79,-1296.89,-2,-963.824,-573.516,-592.369,-15875.1,-576716,233875,-747.576,278.799,-3,-0.0172729,-0.0169067,-0.00274658,-0.00189209,0.00183105,0,-0.000915527,0,0.000427246,0.00701904
