Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,1.72133,-9.2543,-253.927,-40667.5,8269.91,-218.4,166.568,-96.8457,-2,-1.00005,9.0881,-275.787,60070.9,-10186.8,877.019,189.063,34.1832,-3,0.00616455,-0.000915527,0.00628662,0.0136108,-0.000427246,0.000244141,-6.10352e-005,0.000366211,0.000732422,0.000549316
1,1,1.58946,-9.4803,-251.324,-40618,8675.21,-87.975,168.518,-95.3836,-2,-1.45418,7.53559,-278.235,59465,-9859.26,965.18,190.565,38.2779,-3,0.00268555,-0.000976563,0.0100708,0.00708008,-0.000244141,0.000610352,-0.000244141,-0.00012207,0.000244141,0.00177002
1,2,1.72285,-9.38828,-251.843,-40557.4,8326.68,-131.713,167.063,-95.9579,-2,-0.741335,8.82856,-275.085,59675.5,-10216.6,849.856,188.86,35.0654,-3,0,-0.00195313,-0.0281372,-0.00628662,6.10352e-005,-0.00012207,-0.000366211,0.000305176,0.000488281,0.000793457
1,3,1.67673,-9.04352,-251.842,-40561.2,8462.35,-235.034,167.602,-95.9421,-2,-0.86511,9.39733,-276.993,60025.3,-10115.4,929.675,189.481,35.2964,-3,-0.0022583,0.000793457,0.012085,-0.0159912,-0.0010376,-0.00012207,0.00012207,0.00012207,0.000427246,-0.000244141
1,4,1.6344,-9.22002,-250.454,-40510.8,8520.92,-148.491,168.022,-95.2505,-2,-0.874321,8.37422,-276.146,59789.2,-9903.04,709.513,190.138,35.4872,-3,-0.00292969,0.00164795,-0.347351,-0.00610352,-0.00262451,0.000183105,0,0.000427246,0.000183105,0.00170898
1,5,2.15186,-8.94864,-253.399,-40711.2,8441.26,-157.357,167.312,-96.3395,-2,-2.02257,8.7392,-276.313,59767.8,-10144,958.319,189.288,35.6953,-3,-0.00476074,-0.00164795,0.288086,-0.0155029,0,-0.00012207,-0.000183105,0.0010376,0.000366211,0.000366211
1,6,1.58755,-8.64911,-251.839,-40545.4,8407.31,-174.827,167.384,-96.0028,-2,-1.39927,8.54465,-278.236,59967.8,-9843,772.277,190.624,36.4713,-3,-0.00518799,0.000488281,-0.00500488,-0.0090332,0.000610352,6.10352e-005,-0.000183105,0.00012207,0.000183105,0.000549316
1,7,2.06562,-8.95357,-252.361,-40576.2,8541.51,-243.269,167.846,-96.2135,-2,-0.954346,8.94383,-278.399,59848.8,-10073.9,727.085,189.815,37.0248,-3,-0.00268555,-0.000488281,-0.00799561,0.00238037,0.000671387,-0.000183105,0.00012207,-0.00109863,0.000915527,0.000793457
1,8,1.85248,-9.47358,-253.236,-40541.8,8380.17,-243.753,167.092,-96.9053,-2,-1.08508,9.0762,-278.399,60028.2,-10010.5,771.599,190.042,36.381,-3,-0.000732422,-0.000183105,-0.0193481,-0.000854492,0.000610352,-0.000183105,0.000305176,-0.000305176,0.000427246,0.000366211
