Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,5.67896,-6.68041,-1422.31,25103.3,96904,1118.51,202.132,-274.65,-2,-1.95559,0.216296,11.9749,-823.103,495.153,1011.62,184.651,183.265,-3,-0.00152588,0.000488281,-0.000488281,-0.000610352,0.0020752,0,-0.000183105,0.00012207,0.00128174,0.0012207
1,1,5.5926,-6.68421,-1422.47,24854.4,96887.6,1109.5,202.112,-274.473,-2,0,0,0,0,0,0,226,252,-3,-0.00134277,0.00177002,0.00109863,0.000671387,0.00299072,0.00012207,0.000244141,0.000488281,0,0.000427246
1,2,5.24748,-6.8637,-1421.43,24866.3,96883.2,1109.34,202.159,-274.494,-2,-2.72077,-1.10545,15.7666,-603.667,894.749,1031.31,169.25,213.712,-3,-0.00012207,0.000915527,0.00183105,0.0012207,-0.000366211,0.000610352,-0.000366211,0,0.000427246,-0.00012207
1,3,5.59014,-6.46393,-1423.17,24901.5,96925.8,1092.3,202.106,-274.497,-2,-2.48102,0.25573,10.5776,-571.966,478.335,1109.44,180.779,197.927,-3,0.00201416,0.000610352,0.000610352,0.0010376,-0.000854492,0.000244141,0.00128174,0.000427246,0.000488281,0.000854492
1,4,5.37257,-5.98464,-1421.78,25074.5,96781,1143.87,202.07,-274.636,-2,0,0,0,0,0,0,226,252,-3,-0.00231934,0.000915527,-0.000366211,-0.000488281,-0.00219727,0.00012207,0.000793457,0.000793457,0.000366211,0.000366211
1,5,5.06935,-6.2049,-1422.65,24834.8,96774.1,1151.95,202.024,-274.457,-2,-1.78175,0.308791,11.8115,-1166.22,468.538,984.793,186.332,153.264,-3,-0.0043335,0.000549316,0,-0.00195313,-0.00177002,-0.000183105,0.00012207,0.000244141,0.000427246,0.000244141
1,6,5.41981,-6.33854,-1421.43,24984.3,96761.4,1040.28,202.073,-274.577,-2,-2.07834,0.292735,10.9179,-30.6719,693.042,1109,162.523,249.191,-3,-0.00189209,-6.10352e-005,-0.000183105,-0.00384521,-0.000427246,0.00012207,-0.000244141,0.000549316,0.000427246,0.000671387
1,7,5.1609,-6.29744,-1420.39,24985.8,96656.9,1091.72,202.05,-274.591,-2,0,0,0,0,0,0,226,252,-3,-0.00213623,-0.00140381,0.000183105,-0.00274658,-0.000488281,0.000793457,-6.10352e-005,0.000366211,0.000427246,0.000366211
1,8,5.11536,-6.25246,-1421.26,24929.8,96734.8,1100.34,202.063,-274.541,-2,-1.86291,0.208403,10.2342,-729.254,529.418,1011.23,174.27,180.743,-3,0.000549316,-0.00134277,-6.10352e-005,-0.00250244,0.000183105,0.000244141,0,-0.000244141,0.000488281,0.00128174
1,9,5.33306,-6.37701,-1422.3,24962,96630.8,1117.51,201.94,-274.55,-2,0,0,0,0,0,0,226,252,-3,-0.000610352,-0.00164795,-0.000366211,-0.0022583,-0.00372314,-0.000244141,0.000305176,-6.10352e-005,0.000366211,6.10352e-005
