Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,6.17542,-5.18058,18.2025,3143.6,-3507.45,1333.04,326.69,-84.299,-2,12.1738,-13.6017,-325.845,-81049.5,14905.5,-4079.22,271.744,500.737,-3,-0.00476074,-0.000854492,0.0106812,0.00274658,0.0020752,-0.000183105,0.000305176,-0.00012207,0.00109863,0.000427246
1,1,6.26646,-5.26681,18.8995,3159.11,-3778.43,1349.88,333.922,-89.8472,-2,12.1667,-15.47,-324.844,-80896.4,14906.2,-4124.37,271.887,501.032,-3,-0.00463867,0.00012207,-0.113708,0.00250244,0.00585938,0.00012207,0.000183105,0.000366211,0.000244141,0.0012207
1,2,5.8735,-5.09571,20.1117,3300.21,-3629.14,1410.52,314.45,-92.9058,-2,12.5587,-14.8335,-321.519,-81116.2,14890.5,-4159.61,272.313,504.29,-3,-0.00256348,-0.000854492,0.046936,-0.0158081,0.00695801,0.000183105,-0.000305176,-6.10352e-005,-0.000244141,0.00109863
1,3,6.22092,-5.39315,18.5461,3325.24,-3642.65,1427.94,330.411,-77.7037,-2,11.7296,-14.445,-326.037,-80891.5,14924.4,-3946.8,271.775,500.105,-3,-0.00170898,0.000183105,0.00354004,-0.0203857,0.00518799,0.000244141,0.000732422,0.000610352,0.00012207,0.00134277
1,4,6.13247,-5.3932,17.8517,3229.14,-3563,1436.51,333.589,-76.113,-2,12.1671,-14.5766,-325.512,-81244.3,14905.9,-4097.45,271.792,501.589,-3,-0.00213623,-0.000976563,0.0032959,-0.0133667,0.00390625,0.000305176,0.000610352,0.000488281,0.00128174,0.00140381
1,5,5.95705,-4.8299,18.5531,3157.18,-3633.85,1436.17,329.862,-86.8294,-2,12.3908,-13.7794,-323.25,-81037,14896.4,-4352.24,272.083,502.695,-3,-0.00274658,0.00115967,-0.0117798,-0.0043335,0.00616455,0.000549316,0.000488281,0.000244141,0.000488281,0.000915527
1,6,5.95979,-5.22452,19.413,3371.35,-3555.23,1367.63,317.137,-83.3354,-2,12.0447,-15.134,-328.501,-80733.8,14909.9,-4256.29,271.388,497.764,-3,-0.000793457,0.000549316,0.0045166,0.000854492,0.00476074,-0.000366211,0.000244141,0.000305176,0.000793457,0.000549316
1,7,6.12836,-4.95701,17.6798,3266.58,-3449.11,1428.11,329.088,-72.2365,-2,13.7155,-14.755,-322.559,-80825.8,14841.9,-4171.25,272.013,502.577,-3,-0.00012207,-0.000488281,-0.0980225,0.00701904,0.00360107,0,-0.000244141,0.000305176,0.000427246,0.00146484
1,8,6.0878,-4.74277,18.8993,3276.3,-3657.55,1375.97,327.528,-83.644,-2,12.1711,-14.3103,-324.989,-80885.1,14906.1,-4000.4,271.866,500.885,-3,-0.000366211,-0.000671387,0.136902,0.0057373,0.00305176,0.000732422,0.00012207,0.000305176,0.000976563,0.00115967
1,9,6.17876,-5.22673,19.7636,3314.85,-3621.2,1298.6,317.226,-89.2751,-2,12.5716,-14.2322,-329.496,-81485,14888.1,-4098.74,271.184,499.302,-3,0.000854492,0.000732422,0.0184326,0.00701904,0.003479,0.000183105,-0.000671387,-0.000183105,0.000610352,0.000915527
2,0,5.95757,-5.09128,19.2416,3337.95,-3518.34,1462.56,316.851,-83.5244,-2,12.3486,-14.0915,-325.68,-81070.3,14898.2,-4115.15,271.745,500.926,-3,-0.00128174,0.00158691,-0.00183105,0.00213623,0.00524902,-0.000305176,6.10352e-005,-0.00012207,0.000488281,0.000793457
2,1,5.87128,-5.22087,18.3708,3312.86,-3552.22,1427.83,327.362,-76.667,-2,11.9503,-14.1328,-325.681,-81013.2,14915.1,-4008.65,271.797,500.75,-3,0.00280762,0.000427246,0.0178833,0.00506592,0.00421143,-0.000610352,0.000854492,0.000610352,-0.00012207,0.000427246
2,2,6.26376,-5.22212,18.3768,3179.93,-3625.66,1358.8,331.296,-83.9593,-2,12.7415,-15.1143,-326.214,-81287.5,14881.8,-4134.5,271.62,501.185,-3,0.000793457,0.000854492,-0.0117188,-0.00134277,0.000854492,0.000305176,-0.000183105,0.000244141,6.10352e-005,0.00109863
2,3,5.8733,-5.17751,18.5451,3333.92,-3704.61,1384.41,333.762,-77.2263,-2,11.547,-14.6597,-324.129,-80994.7,14932.4,-3981.45,272.069,501.884,-3,-0.0010376,0.00012207,0.00366211,0.00128174,0.00421143,0.000549316,-0.000366211,-0.00012207,0,0.000488281
2,4,6.08984,-5.26987,18.8925,3293.56,-3483.58,1281.47,318.389,-82.6685,-2,13.763,-15.12,-328.633,-81347.6,14839,-4014.13,271.154,499.533,-3,0.000732422,0.00238037,-0.104858,0.00646973,0.00500488,6.10352e-005,0.00012207,0.00012207,-0.000305176,0.000610352
2,5,6.1738,-4.95967,19.4192,3305.48,-3508.98,1488.59,314.696,-86.7829,-2,12.3419,-14.1683,-322.896,-81146.9,14899.3,-4088.42,272.143,503.31,-3,-0.000549316,0.00518799,0.0513306,0.00817871,0.00762939,-6.10352e-005,0,-0.00012207,0.00146484,0.00115967
2,6,6.26319,-5.05127,20.29,3245.37,-3550.53,1436.81,308.99,-97.0502,-2,12.0004,-14.097,-326.731,-80705,14912.7,-4008.87,271.642,499.008,-3,0.000793457,0.0032959,0.0022583,0.00500488,0.00836182,0.000183105,0.000244141,0.000549316,-0.00012207,0.000183105
2,7,6.60906,-5.21748,18.0271,3333.42,-3505.81,1368.07,328.474,-72.0886,-2,13.0556,-14.3542,-322.212,-80538.1,14869.6,-4090.14,272.149,501.954,-3,0.0022583,0.00457764,0.0195313,0.00598145,0.00640869,-0.000366211,6.10352e-005,0.000427246,0.00231934,0.000732422
2,8,5.96179,-5.4427,19.2433,3170.41,-3651.61,1427.61,323.76,-92.246,-2,12.3971,-14.094,-326.376,-80781.3,14896.3,-3974.58,271.642,499.51,-3,0.00585938,0.00164795,-0.0185547,0.0159302,0.0055542,6.10352e-005,0.000244141,0.000366211,0.00158691,0.000183105
2,9,5.95515,-5.262,17.6742,3329.99,-3364.9,1462.76,324.386,-68.5901,-2,12.259,-14.6271,-327.597,-81267.9,14901.7,-4054.01,271.488,500.073,-3,0.0055542,0.00146484,0.0107422,0.0150757,0.00714111,6.10352e-005,0.000610352,0.000244141,0.000366211,0.000793457
3,0,6.04562,-5.05006,18.3736,3263.88,-3577.74,1281.16,328.721,-79.3605,-2,12.6586,-13.8766,-324.645,-81082.3,14884.6,-4458.72,271.849,501.757,-3,0.00219727,-0.00177002,-0.10614,0.00189209,0.00769043,-6.10352e-005,-0.00012207,0.00012207,0.000488281,0.000793457
3,1,6.13128,-4.74172,19.7658,3429.6,-3640.29,1428.04,318.171,-83.4879,-2,11.9909,-14.795,-324.994,-80962.4,14913.9,-3903.54,271.89,501.12,-3,0.00366211,-6.10352e-005,0.13324,0.000854492,0.00488281,0.00012207,0.000366211,0.000549316,-0.000366211,0.000732422
3,2,5.87216,-5.09113,19.064,3452.81,-3608.86,1376.14,323.302,-75.8832,-2,12.1167,-13.4015,-322.866,-81691.5,14908.8,-4034.58,272.176,505.02,-3,0.00183105,-0.00177002,0.0110474,0.000854492,0.00585938,6.10352e-005,0,6.10352e-005,0.000244141,0.000854492
3,3,6.13383,-5.311,19.2423,3272.11,-3562.89,1393.52,319.159,-86.9525,-2,12.3476,-13.9967,-324.113,-80909.7,14898.8,-4035.68,271.968,501.634,-3,0.00158691,-0.00189209,0.00305176,-0.00646973,0.00543213,-0.00128174,0.00012207,0.000244141,-0.000366211,0.000488281
