Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,6.26675,-5.40394,21.3314,3212.29,-3569.23,1436.84,301.322,-106.41,-2,33.2867,-25.6233,-514.385,-97455.2,13971.7,-7948.26,253.162,441.46,-3,6.10352e-005,0.000305176,-0.00726318,0.0211182,-0.000915527,0.000366211,6.10352e-005,0.00012207,0.000244141,0.000610352
1,1,6.13758,-5.10571,23.2487,3130.12,-3641.77,1453.88,290.644,-122.364,-2,32.9814,-24.4554,-512.966,-97112.4,13985.4,-7603.37,253.264,441.315,-3,0.00268555,0.00146484,-0.00469971,0.0175781,0.000244141,-0.000427246,0.000183105,6.10352e-005,0.0010376,0.000366211
1,2,6.14028,-5.4944,22.8936,3304.76,-3716.31,1436.67,296.33,-112.647,-2,32.8169,-25.1978,-517.007,-96553.9,13990.7,-7841.56,253.061,438.755,-3,0.000793457,0.000183105,-0.00115967,0.00720215,0.0012207,0.000244141,0.00012207,-0.00128174,0.000549316,0.00115967
1,3,6.22665,-5.40745,22.7228,3231.99,-3720.3,1428,297.726,-114.765,-2,33.2861,-25.3099,-512.819,-97383.1,13971.8,-8027,253.245,441.898,-3,0.00177002,0.000183105,0.00299072,0.00793457,0.00286865,0.000915527,0.000305176,0.000305176,0.000610352,0.000854492
1,4,6.39674,-5.31623,21.5088,3158.63,-3594.52,1471.35,301.118,-110.147,-2,32.4094,-24.8679,-514.383,-96979,14008.5,-7787.23,253.234,440.535,-3,0.00250244,-0.000854492,0.0065918,0.00506592,0.0043335,0,0.00012207,0.000244141,0.000793457,0.000183105
1,5,6.4393,-5.14555,22.8986,3262.65,-3481.92,1463.19,286.058,-114.518,-2,32.6613,-25.6983,-511.432,-97396,13998.7,-7849.63,253.372,442.438,-3,0.00109863,-0.000427246,0.00305176,0.00494385,0.00549316,0.000183105,0.000305176,0.000305176,0.000488281,0.000854492
1,6,6.13821,-5.22688,21.6803,3276.21,-3831.8,1488.06,310.742,-105.885,-2,33.0327,-24.6583,-513.179,-96683.3,13981.8,-8149.11,253.245,440.401,-3,0.00170898,-0.000488281,0.00134277,0.00213623,0.00366211,0,0.00012207,0.000549316,0.00158691,0.000305176
1,7,6.82988,-4.87645,20.8185,3215.77,-3726.72,1367.84,313.01,-102.533,-2,32.2293,-25.4925,-516.302,-97335,14015.6,-7805.12,253.146,440.524,-3,-0.00140381,-0.000427246,0.00360107,-0.00170898,0.00323486,-0.00012207,0.00012207,-0.000671387,0.000610352,-6.10352e-005
1,8,5.96627,-5.40817,22.7212,3231.41,-3747.82,1445,298.948,-114.78,-2,33.0229,-24.8201,-513.331,-97401,13982.7,-7973.31,253.239,441.743,-3,-0.00195313,-0.00140381,0.000976563,-0.00109863,0.00366211,-0.00012207,0.000244141,0.000366211,0.000305176,0.00231934
