Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,6.30849,-4.87523,20.6399,3290.81,-3781.73,1436.43,317.225,-97.5606,-2,37.9828,-23.8865,-479.819,-118694,13780.1,-10682.3,254.719,499.373,-3,-0.0181274,0.00311279,0.003479,-0.0112915,-0.188965,0.000427246,0.000183105,0.000488281,-0.000366211,0.000366211
1,1,5.83207,-4.97269,21.1597,3134.48,-3685.09,1332.61,308.156,-108.865,-2,38.193,-24.9437,-477.573,-118929,13772,-10718.4,254.838,501.028,-3,-0.0233765,0.00354004,0.0012207,-0.0135498,-0.00799561,-6.10352e-005,0.000183105,0.000427246,0.000366211,0.00140381
1,2,6.39181,-5.17704,18.3773,3200.98,-3497.92,1410.95,324.339,-82.8186,-2,38.0598,-25.1662,-477.925,-118939,13777.6,-10691.9,254.828,500.864,-3,-0.0215454,0.00305176,0.00195313,-0.0140381,0.017334,0.000183105,0.000976563,0.000610352,0.000549316,-0.00012207
1,3,6.26591,-4.70829,21.6881,3126.83,-3780.73,1384.52,308.323,-112.827,-2,38.5115,-24.7351,-481.738,-118925,13757.8,-10658,254.559,498.866,-3,-0.0133057,0.00250244,-0.000183105,-0.0112915,0.00543213,0.000366211,0.000183105,0.000366211,0.000732422,0.000732422
1,4,6.74678,-5.31854,22.3785,3236.76,-3665.04,1359.45,297.775,-112.363,-2,38.823,-24.3806,-480,-118658,13744.9,-10755,254.635,499.205,-3,-0.00689697,0.000854492,-0.00170898,-0.00305176,0.0201416,0.000305176,6.10352e-005,0.000427246,0.000549316,0.00134277
1,5,5.95938,-4.36002,21.684,3294.21,-3729.55,1341.41,305.996,-105.081,-2,38.1526,-24.5451,-477.396,-118700,13773.7,-10682.8,254.852,500.641,-3,0.000427246,-0.0010376,-0.00378418,0.00622559,0.013916,0.000915527,0,-0.000244141,0.00109863,0.000610352
1,6,6.5722,-5.35994,21.3304,3330.01,-3637.52,1307.63,304.532,-100.885,-2,38.1536,-24.8186,-479.141,-118830,13773.1,-10753.6,254.746,500.006,-3,0.00964355,-0.0032959,-0.00189209,0.0149536,0.0543823,0.000366211,0.00012207,0.000427246,0.00140381,0.000976563
1,7,6.92143,-5.57318,20.2946,3109.88,-3805.52,1367.64,321.514,-103.763,-2,38.8608,-24.46,-478.083,-118871,13743.8,-10772.5,254.748,500.642,-3,0.010437,-0.00335693,0.0012207,0.0199585,-0.0410767,0.00012207,6.10352e-005,0.000244141,0.00012207,0.000671387
1,8,6.17634,-4.87994,21.1614,3214.65,-3566.88,1453.99,302.556,-105.089,-2,38.1095,-24.594,-478.269,-118742,13775.2,-10744.4,254.802,500.275,-3,0.0126953,0.00256348,0.0022583,0.0106812,0.003479,0.000793457,0.000427246,0,0.000549316,0.000305176
1,9,6.43913,-5.01601,21.6805,3268.53,-3499.13,1264.61,295.395,-106.241,-2,38.598,-24.6894,-480.177,-118903,13754.3,-10781.1,254.644,499.623,-3,0.0136719,0.00476074,0.00268555,0.0177612,0.0134888,-6.10352e-005,0.000488281,0.000183105,0.000488281,0.000793457
2,0,6.4381,-4.91771,19.6005,3135.72,-3768.23,1419.05,326.251,-97.0188,-2,38.7775,-24.5558,-478.789,-118510,13747.2,-10737.3,254.712,499.521,-3,0.00494385,0.00305176,0.0045166,0.0195923,-0.0119629,0,0.000183105,0.000732422,0.000549316,0.00109863
2,1,5.5725,-4.93242,22.5469,3251.27,-3693.5,1358.51,297.814,-112.799,-2,38.3327,-24.7746,-479.312,-118673,13765.8,-10666.1,254.72,499.591,-3,0.00201416,0.00189209,0.00622559,0.00933838,-0.00140381,-0.00012207,6.10352e-005,0.00115967,0.000366211,0.000183105
2,2,6.48315,-4.74751,20.2944,3239.92,-3825.93,1263.82,322.522,-97.3539,-2,38.0664,-24.3269,-478.264,-118731,13777,-10735.3,254.806,500.254,-3,0.00939941,0.00238037,0.0067749,0.00939941,0.199097,0.000854492,6.10352e-005,0.000610352,0.000366211,-0.00012207
2,3,6.44007,-5.05511,20.8182,3054.79,-3710.93,1384.67,312.255,-110.263,-2,38.4252,-24.2009,-480.517,-118728,13761.5,-10692.4,254.639,499.084,-3,0.00769043,0.00115967,0.0078125,0.0108032,-0.189392,0.00012207,-6.10352e-005,0,0.000732422,0.000915527
2,4,6.26609,-5.13984,20.4675,3107.7,-3722.81,1436.33,315.888,-105.164,-2,37.405,-24.0203,-480.174,-118932,13803.9,-10795.4,254.748,499.686,-3,0.00256348,0.000793457,0.00549316,0.00762939,-0.0236816,-0.000610352,-0.000305176,0.000366211,0.000549316,0.000732422
2,5,6.56703,-4.87186,19.0758,3271.77,-3696.11,1359.01,327.759,-85.4857,-2,38.1055,-24.987,-478.611,-118950,13775.8,-10577.6,254.783,500.532,-3,0.000915527,0.000366211,0.00842285,0.00305176,0.0101929,-0.00012207,6.10352e-005,0.000671387,0.000366211,0.000610352
2,6,6.31244,-5.22831,20.1208,3046.93,-3876.38,1332.42,326.655,-105.568,-2,37.7005,-25.2494,-475.846,-119056,13792.8,-10822.8,254.986,502.199,-3,-0.00366211,0.000549316,0.00756836,-0.000793457,-0.0181885,0.000244141,-0.000366211,0.000183105,0.000549316,0.0012207
2,7,6.26553,-5.05094,20.4642,3264.48,-3722.09,1410.61,315.883,-97.4785,-2,38.1973,-24.5482,-478.265,-118817,13771.5,-10735.8,254.795,500.434,-3,-0.00592041,-0.00012207,0.00921631,0.000732422,-0.0161133,-6.10352e-005,0,0.000305176,0.000854492,0.000244141
2,8,6.9133,-4.79291,20.9949,3105.3,-3444.7,1377,298.073,-109.092,-2,38.1106,-24.4658,-482.771,-119396,13774.2,-10709.8,254.531,499.315,-3,-0.00280762,-0.00274658,0.0102539,0.00128174,0.000366211,0.000427246,0.000183105,0.000488281,6.10352e-005,0.0010376
2,9,6.61276,-5.30819,19.9403,3349.52,-3640.1,1419.74,316.55,-89.0226,-2,38.462,-24.3699,-478.43,-118983,13760.4,-10771.6,254.761,500.695,-3,-0.00323486,0.000732422,0.00610352,0.000732422,0.0390625,-0.000488281,0.000305176,-0.00152588,0.00158691,0.0010376
3,0,6.56969,-5.09689,20.9891,3187.21,-3639.44,1393.71,307.397,-105.149,-2,38.5475,-24.7216,-478.257,-119074,13757.1,-10701.6,254.765,500.976,-3,-0.00427246,0.00250244,0.00476074,-0.000183105,-0.0625,0.000366211,0.000244141,0.000427246,0.000549316,0.000488281
3,1,6.78997,-5.40339,22.0336,3136.83,-3686.91,1445.59,301.331,-114.634,-2,38.0639,-24.4988,-477.393,-118717,13777.6,-10638.6,254.86,500.677,-3,-0.00402832,0.00152588,0.00341797,0.000244141,0.00457764,0.00012207,-6.10352e-005,0.000366211,0.000366211,0.000610352
3,2,6.17873,-4.92214,20.8117,3289.31,-3737.5,1376.04,313.587,-98.949,-2,38.0695,-24.2845,-478.612,-118517,13776.9,-10656.2,254.785,499.626,-3,-0.00933838,-0.00128174,0.00280762,-0.000854492,0.0310059,-0.0010376,0.000305176,0,0.000610352,0.000976563
3,3,6.21995,-4.79282,20.6418,3160.94,-3625.7,1393.4,309.648,-103.867,-2,38.6509,-24.5688,-483.48,-118728,13751.4,-10720,254.442,497.569,-3,-0.00689697,-0.000366211,0.00231934,-0.00408936,-0.010376,-0.00115967,0.00012207,0.000244141,0.000366211,0.000732422
3,4,6.26364,-5.05247,19.4278,2957.93,-3627.86,1427.64,320.735,-104.748,-2,37.667,-24.4581,-478.786,-118833,13793.7,-10673,254.81,500.195,-3,0.00354004,-0.00128174,-0.000732422,-0.0020752,0.0065918,-0.00012207,0.000183105,0.000915527,0.00012207,0.000732422
3,5,6.13683,-5.14035,20.8145,3126.6,-3793.93,1453.39,316.273,-106.787,-2,38.419,-24.8174,-478.444,-118732,13762.3,-10736.6,254.765,500.164,-3,0.000183105,-0.00195313,-0.00146484,-0.000244141,0.227661,-0.000305176,0.00012207,-0.000671387,0.000549316,0.000671387
