Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,5.96606,-5.45887,23.7694,3000.77,-3596.5,1479.66,285.308,-130.755,-2,-2.55461,0.659346,18.619,-1060.25,1564.5,1412.07,141.973,195.055,-3,-0.00183105,0.000244141,0.00140381,-0.00268555,0.00201416,-0.000793457,0.000183105,0.000183105,0.00213623,0.0012207
1,1,5.74968,-5.45357,23.2449,3114.2,-3778.39,1539.6,296.547,-123.026,-2,-2.27803,-0.124122,12.1659,-792.676,1744.37,1427.93,82.618,186.844,-3,-0.00286865,-0.000427246,0.00439453,-0.00897217,0.000610352,0.00012207,0.000427246,-0.000183105,0.000732422,0.00177002
1,2,6.00852,-5.49774,23.067,3247.53,-3558.42,1436.85,288.265,-116.213,-2,-1.66906,-0.420711,17.0321,-1051.73,1449.77,1250.45,140.88,190.25,-3,-0.00494385,-0.00286865,0.00695801,-0.0150757,0.00286865,-0.000610352,-0.000305176,0.000305176,0.00128174,0.00262451
1,3,6.0526,-4.97688,23.9478,3058.98,-3810.91,1470.69,293.134,-129.265,-2,-2.37405,-0.152884,17.3766,-711.401,1575.91,1366.95,135.308,211.06,-3,-0.0101318,-0.00518799,0.00799561,-0.0152588,0.00219727,0.000366211,0,0.000915527,0.0010376,-0.000488281
1,4,6.40204,-5.67585,24.29,3088.5,-3575.38,1454.29,281.196,-129.849,-2,-2.63688,-0.108999,14.9507,-1000.63,1335.81,1481.18,136.652,185.071,-3,-0.0127563,-0.00994873,0.00744629,-0.0129395,0.0012207,-0.000549316,-0.000305176,-0.000976563,0.000976563,0.000549316
1,5,6.22575,-5.44993,21.8539,3172.44,-3681.92,1410.69,302.479,-111.834,-2,0,0,0,0,0,0,226,252,-3,-0.0108643,-0.00787354,0.000854492,-0.00512695,0.00231934,0.000366211,0.000244141,0.000793457,0.00134277,0.000549316
1,6,6.04913,-4.96784,21.6856,3114.81,-3772.41,1513.8,307.959,-113.365,-2,-2.19238,0.196692,14.2627,-853.497,1644.93,1463.25,110.669,192.159,-3,-0.00671387,0.0010376,-0.000915527,-0.00146484,0.00164795,-0.000427246,0.000305176,-0.000305176,0.000793457,0.00128174
1,7,5.49068,-5.58585,23.0669,3146.7,-3823.89,1487.58,299.774,-120.584,-2,-1.89047,-0.19044,16.0078,-1155.96,1517.38,1550.24,131.21,179.788,-3,-0.0032959,0.0147095,-0.00701904,0.00500488,0.0010376,0.00109863,0.000610352,0.000732422,-0.000671387,0.000915527
1,8,6.31037,-5.10044,22.0306,3206.33,-3667.18,1419.44,300.459,-111.46,-2,-2.37538,-0.0596777,17.5573,-899.768,1441.06,1393.18,143.922,200.752,-3,-0.00201416,0.00177002,-0.00408936,0.00714111,-0.00183105,-0.0010376,0.000305176,0.00164795,0.00128174,0.000488281
1,9,6.17888,-4.84192,23.2515,3140.74,-3644.68,1514.3,290.75,-121.924,-2,-2.51068,-0.373879,14.7797,-1184.54,1812.79,1463.94,103.346,171.853,-3,0.00250244,-0.00476074,0.00140381,0.000610352,0.000610352,0.000671387,0.000183105,-0.000427246,0.000244141,0.000305176
2,0,6.18256,-5.2814,23.5955,3123.17,-3643.22,1445.32,288.403,-124.637,-2,-1.88534,-0.20642,15.6372,-1084.21,1265.2,1136.21,145.09,182.664,-3,-0.0012207,-0.0020752,0.00195313,-0.0098877,0.00244141,-0.000549316,0.000366211,0.00012207,0.00189209,0.000976563
2,1,6.14035,-5.27412,21.6847,3083.31,-3927.5,1435.88,315.118,-114.812,-2,-2.14632,0.108663,14.6077,-683.1,1508.27,1542.07,122.749,205.237,-3,-0.010437,0.000366211,-0.00421143,-0.003479,0.00134277,-0.000366211,-6.10352e-005,-0.00012207,-0.00134277,0.000671387
2,2,6.272,-5.67809,24.1161,3031.08,-3569.76,1410.99,282.024,-131.313,-2,-1.57144,0.868173,15.3265,-862.392,1503.59,1506.16,127.896,195.732,-3,-0.00683594,-0.00494385,-0.00775146,0.00567627,-0.0010376,-0.00012207,-0.000183105,0.00152588,0.000366211,0.00146484
2,3,6.26997,-5.71934,23.5904,3143.9,-3435.42,1411.35,279.628,-123.729,-2,-2.55358,-0.237822,17.2057,-984.776,1467.68,1375.87,140.698,194.765,-3,-0.00848389,-0.00872803,-0.0022583,0.00250244,-0.00311279,0.000244141,-0.000366211,0.000244141,0.000793457,0.000671387
2,4,6.44747,-5.84345,23.0705,3175.91,-3786.13,1445.28,298.112,-119.339,-2,-2.49922,-0.436606,10.9441,-980.767,1579.76,1436.54,81.6519,162.384,-3,-0.00231934,-0.010437,-0.00311279,0.00408936,-0.0012207,0.000183105,0.00012207,0.000366211,0.0012207,0.00109863
