Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,6.09484,-5.23453,22.7243,3181.69,-3677.37,1436.55,295.825,-116.987,-2,27.6963,-15.6056,-256.736,-64683.7,14264.9,-7556.26,281.563,503.946,-3,0.00195313,-0.000549316,-0.00354004,0.00653076,-0.00360107,-0.000549316,-0.00012207,0.000183105,-0.000671387,0.000793457
1,1,6.4846,-5.01115,21.6897,3056.58,-3809.22,1462.22,309.624,-116.077,-2,27.8667,-15.1487,-252.901,-64814.9,14258.5,-7670.2,282.38,508.286,-3,0.00299072,-0.000244141,-0.00311279,0.00482178,-0.00427246,-0.000183105,-6.10352e-005,0,0.000427246,0.000549316
1,2,6.26942,-5.40376,21.508,3154.69,-3779.54,1436.36,309.727,-110.325,-2,26.8467,-15.2692,-252.723,-64777.8,14302,-7315.89,282.591,508.319,-3,0.00354004,0.00299072,-0.00311279,0.003479,-0.00384521,-6.10352e-005,0.000305176,0.000427246,0.000366211,0.000366211
1,3,5.87549,-5.40665,21.6781,3154.19,-3534.77,1496.98,297.057,-111.499,-2,27.8123,-15.9753,-251.16,-65018.3,14262.1,-7388.9,282.785,510.872,-3,0.00109863,0.00146484,-0.00366211,0.00109863,-0.00469971,0.000610352,-6.10352e-005,0.000305176,0.000244141,0.000976563
1,4,6.0905,-5.27201,21.1545,3312.99,-3466.6,1462.89,297.871,-100.391,-2,26.9358,-15.3602,-252.381,-64666.2,14298.2,-7360.11,282.653,508.224,-3,0.00152588,0.00128174,-0.00213623,0.0012207,-0.00213623,0.00012207,0,-0.000305176,0.000793457,0.00128174
1,5,6.0485,-5.09872,21.6803,3243.63,-3637.59,1479.72,301.784,-107.388,-2,28.2189,-16.0335,-254.811,-64870.6,14244.4,-7311.23,281.902,506.584,-3,0.00183105,0.00134277,0.000488281,0.00488281,-0.00286865,-6.10352e-005,0.000183105,-0.00012207,0.000305176,0.000732422
1,6,6.18125,-5.49096,20.8124,3074.11,-3680.54,1444.99,310.843,-109.295,-2,27.0662,-15.5864,-253.254,-64986.3,14292.2,-7527.88,282.434,508.605,-3,0.0043335,0.000854492,0.0020752,0.00372314,-0.00152588,-0.00012207,-6.10352e-005,0.000244141,0.000610352,0.000854492
1,7,6.09359,-5.49486,21.3307,3132.21,-3523.55,1393.58,299.187,-110.16,-2,26.6314,-15.682,-255.347,-64567.4,14310.3,-7316.01,282.043,504.861,-3,0.00280762,-0.000793457,0.00274658,0.00250244,-0.000732422,0.000305176,0.000305176,0.000793457,0.000488281,0.000610352
1,8,6.17917,-5.27656,21.5081,3103.14,-3528.05,1419.49,298.034,-112.722,-2,26.4402,-16.0676,-252.912,-65275.1,14318.6,-7482.7,282.615,510.094,-3,0.00274658,-0.00292969,0.00231934,0.00219727,0.00213623,0.000305176,-0.000244141,0.000305176,0.000488281,0.000610352
1,9,5.96096,-4.57649,21.516,3054.52,-3845.93,1478.96,312.747,-115.035,-2,26.9363,-15.3647,-253.598,-64841.9,14297.7,-7448.27,282.379,507.687,-3,0.00170898,-0.00164795,0.000854492,0.00354004,-0.000732422,-0.00012207,0.000305176,0.000366211,0.0010376,0.000305176
2,0,5.96407,-5.18604,21.1574,3239.82,-3785.63,1393.03,312.927,-103.87,-2,25.6071,-15.7142,-254.995,-64971.4,14353.4,-7216.78,282.289,506.795,-3,-0.00305176,0.00164795,0.000732422,0.00274658,-0.00177002,0.000488281,0.000305176,0.000305176,0.000488281,0.000793457
2,1,5.43779,-5.04897,19.4138,3319.4,-3669.14,1504.99,322.996,-86.0184,-2,26.8414,-15.8451,-252.558,-65033.5,14302.2,-7386.67,282.629,509.5,-3,0.0012207,0.0010376,0.000366211,0.00622559,-0.000854492,0,6.10352e-005,0.000183105,0.000305176,0.000549316
2,2,6.3133,-5.23695,23.4212,3182.76,-3686.05,1384.98,291.381,-121.108,-2,26.1374,-15.931,-254.466,-64824.2,14332,-7006.97,282.322,506.746,-3,-0.00140381,0.000732422,-0.00109863,0.00378418,-0.00134277,0.00012207,6.10352e-005,0.000549316,0.000305176,0.000427246
2,3,6.44379,-5.40576,22.8981,3251.4,-3729.53,1454.06,296.875,-115.006,-2,26.3016,-16.6781,-254.291,-65665.2,14325.1,-7139.89,282.333,510.228,-3,0.00146484,-0.00012207,-0.00140381,0.00250244,-0.00250244,-0.0010376,-0.000793457,-0.00012207,0.000488281,-0.000244141
2,4,5.91787,-4.96977,20.6411,3057.4,-3689.57,1401.57,312.749,-108.878,-2,26.3611,-15.0472,-253.417,-64846.1,14322,-7305.87,282.516,507.887,-3,0.0032959,-0.00109863,-0.00585938,0.00177002,-0.00134277,-0.00012207,-0.000366211,0.000427246,0.000732422,-0.000854492
2,5,5.78808,-5.01421,21.6803,3189.59,-3665.12,1453.52,303.053,-109.881,-2,24.8571,-16.1624,-257.266,-64933.9,14384.5,-7083.63,281.913,504.4,-3,-0.000915527,0.00109863,-0.00390625,0.00360107,0.00109863,-0.000183105,0.000427246,0.000305176,0.000610352,0.000854492
