Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,-0.517879,-0.142844,-568.165,7115.04,5612.86,1201.28,143.879,-269.523,-2,-0.107522,0.211313,59.6991,414.565,19.5343,8.43448,225.673,258.944,-3,0.0158691,0.0213013,0.00750732,0.0137939,-0.0055542,0.00280762,-0.000793457,0.00189209,0.00396729,0.00543213
1,1,-0.71995,-0.514993,-566.647,8006.36,8567.55,914.984,149.12,-271.129,-2,-0.124078,0.223952,52.8024,-2038.01,18.8063,7.39096,225.644,213.403,-3,0.0293579,0.00408936,-0.00762939,0.0130615,0.00213623,0.00256348,0.00152588,0.00128174,0.00439453,0.0057373
1,2,-0.961457,-0.681258,-567.487,7171.76,6835.74,1134.59,146.046,-269.638,-2,-0.144735,0.269712,68.6122,-1266.12,23.5654,9.67607,225.657,233.547,-3,0.0166016,0.00500488,-0.0067749,0.00665283,0.0045166,0.000915527,0.000244141,0.00158691,0.0065918,0.0109253
1,3,-0.357978,0.0325721,-568.518,7237.71,6559.08,1358.75,145.537,-269.731,-2,-0.0822068,0.165986,49.0778,842.49,15.7341,6.92018,225.679,269.166,-3,0.0101318,0.0105591,-0.0102539,-0.0189819,0.0133057,0.000976563,0.000305176,0.00280762,0.00683594,0.00219727
1,4,-0.893518,-0.342613,-568.193,7342.28,8342.05,991.182,148.682,-269.922,-2,-0.118254,0.222895,57.9885,-742.016,19.703,8.16355,225.66,239.204,-3,0.0228882,0.00500488,0.00476074,-0.022644,-0.00177002,0.00244141,-0.00219727,0.00140381,0.00665283,0.00842285
1,5,-0.665383,-0.109678,-567.651,7099.42,7068,1324.98,146.451,-269.507,-2,-0.136896,0.260974,69.6357,-456.755,23.3896,9.84076,225.664,245.441,-3,0.0282593,0.00750732,-0.00750732,-0.0198975,-0.00494385,0.000732422,0.000854492,0.00195313,0.00708008,0.00708008
1,6,-0.835325,-0.208942,-568.866,6791.03,7020.78,936.067,146.342,-268.938,-2,-0.0558908,0.104908,26.6722,-496.307,9.14552,3.67632,225.657,233.392,-3,0.0271606,0.000854492,0.00946045,0.000366211,-0.00732422,0.000610352,0.000183105,0.00158691,0.00488281,0.00634766
1,7,-0.305152,-0.291155,-568.338,6787.75,6350.39,891.984,145.174,-268.943,-2,-0.136479,0.262143,71.021,-204.774,23.6892,10.0451,225.666,249.117,-3,0.0303955,0.00543213,0.00256348,0.0142822,0.00799561,-0.00012207,0.000366211,0.00268555,0.00665283,0.00830078
1,8,-1.02397,0.0535406,-567.837,7242.43,8058.06,1162.95,148.191,-269.754,-2,-0.0955145,0.187245,52.5705,289.387,17.2465,7.40904,225.672,257.505,-3,0.0239258,-0.000610352,-0.0010376,0.00506592,0.00128174,0.00115967,0.00128174,0.00305176,0.00579834,0.00390625
