Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,-5.37513,-7.73468,-563.469,-231532,250089,3501.74,577.839,153.904,-2,-0.209883,0.380616,91.2707,-3101.14,32.26,12.8862,225.647,218.023,-3,-0.0368042,0.0055542,0.012207,-0.0103149,0.105042,0.0012207,-0.00109863,0.000976563,-6.10352e-005,0.0119629
1,1,-5.2803,-7.18186,-562.918,-232368,249414,3301.05,577.073,155.791,-2,-0.168469,0.316849,82.3491,-1074.19,28.0055,11.651,225.66,238.956,-3,-0.115051,-0.0151367,0.273376,0.00274658,0.0994873,0.000976563,0.0010376,0.00408936,0.00286865,0.0078125
1,2,-5.33403,-6.40894,-563.292,-231527,250303,2613.44,578.357,154.024,-2,-0.0937915,0.220376,81.3295,4945.7,23.8315,11.6375,225.707,312.811,-3,-0.158142,-0.0200195,0.442017,0.020813,0.0752563,0.00219727,0.00854492,0.00146484,0.00775146,0.00366211
1,3,-4.98266,-7.35521,-562.762,-231818,250093,3191.14,578.402,154.929,-2,-0.10417,0.245555,91.0539,5613.07,26.636,13.0473,225.707,313.646,-3,-0.262085,-0.0252075,0.43042,0.0127563,-0.00964355,-0.000366211,0.00335693,0.00250244,0.00384521,0.00482178
1,4,-5.39945,-7.02916,-563.636,-231274,248280,3118.57,574.498,153.325,-2,-0.0623689,0.17193,74.5076,6475.35,20.5912,10.6926,225.724,338.909,-3,-0.166321,-0.0181274,0.285767,-0.0249634,-0.0560913,0.00164795,0.000854492,0.00231934,0.0020752,0.00524902
1,5,-5.15085,-6.87389,-565.532,-232144,249337,2921.38,574.889,153.488,-2,-0.218848,0.39441,93.1951,-3540.97,33.1793,13.1526,225.644,214.005,-3,-0.130737,0.010376,0.181824,-0.0223999,0.00744629,0.0010376,-6.10352e-005,0.00201416,0.00439453,0.0078125
1,6,-4.96809,-7.16954,-563.258,-232934,249446,2386.12,576.863,156.548,-2,-0.165159,0.315175,84.4215,-474.998,28.312,11.9615,225.665,246.374,-3,-0.130615,0.0228271,0.127808,-0.0187988,0.0484619,-0.000488281,0.000549316,0.00292969,0.00463867,0.00506592
1,7,-5.11934,-7.19827,-562.95,-231635,250924,2692.49,579.731,154.467,-2,-0.195355,0.352902,83.7904,-3072.9,29.7576,11.8137,225.645,215.326,-3,-0.102356,0.0206909,0.0418701,0.0175781,0.0523071,0.00183105,0.000244141,-0.00183105,0.00305176,0.00561523
1,8,-5.24022,-7.70356,-562.958,-231220,250128,2924.21,578.311,153.723,-2,-0.193645,0.36221,93.1434,-1463.4,31.8385,13.191,225.658,236.289,-3,-0.00872803,0.0020752,0.0112915,0.0397339,0.0622559,0.000183105,0.000427246,0.00549316,0.00500488,0.00518799
1,9,-5.23379,-6.97488,-563.792,-232299,249380,2740.18,576.325,155.029,-2,-0.133907,0.255665,68.4167,-400.711,22.9491,9.66712,225.665,246.143,-3,-0.015686,-0.00366211,0.0522461,0.0167847,0.0404663,0.00238037,0.00177002,0.0022583,0.00292969,0.00512695
2,0,-4.97687,-7.18583,-562.77,-231522,249792,2759.43,577.862,154.397,-2,-0.174404,0.329967,86.8662,-856.399,29.367,12.3038,225.662,242.141,-3,0.0501099,0.00292969,0.110718,0.0302734,0.0308228,0.00164795,0.000549316,0.000671387,0.00439453,0.00848389
2,1,-5.27928,-7.77994,-564.312,-232941,250184,2542.67,577.344,155.788,-2,-0.219078,0.392576,91.4629,-3831.9,32.7894,12.8976,225.642,210.104,-3,0.0880737,0.00323486,-0.0534668,0.0304565,0.0177002,0.000671387,0.00506592,0.00317383,0.00372314,0.00415039
2,2,-5.03192,-7.05171,-563.059,-234077,250888,2974.51,579.581,158.724,-2,-0.260503,0.431453,80.1121,-9041.51,32.3386,11.1543,225.596,139.139,-3,0.00994873,0.00543213,-0.114075,0.0289307,0.0319214,0.00195313,-0.00146484,0.00177002,0.00262451,0.00512695
2,3,-5.2943,-6.88544,-563.242,-233896,251151,2681.67,579.902,158.268,-2,-0.240748,0.430266,99.6509,-4340.1,35.8326,14.0611,225.64,208.447,-3,-0.0167236,0.00250244,-0.0167847,0.0408936,0.0530396,-0.000183105,-0.000610352,0.000366211,0.0043335,0.00549316
2,4,-5.09741,-7.03974,-562.716,-233562,249178,2704.05,576.813,158.062,-2,-0.112784,0.242726,79.8091,3135.31,24.48,11.3795,225.693,291.285,-3,-0.0359497,-0.00640869,0.0999756,0.017395,0.0585938,0.0012207,-0.00183105,-0.000183105,0.00274658,0.00506592
2,5,-5.29153,-6.92309,-562.383,-233439,250942,2690.44,580.213,158.089,-2,-0.48062,0.914881,245.169,-1351.57,82.2589,35.0031,225.664,246.487,-3,-0.0474854,-0.00994873,0.167542,-0.0201416,-0.0108643,0.015564,-0.000488281,0.00323486,0.00115967,0.00628662
2,6,-4.93067,-7.14052,-564.114,-233658,250034,2308.84,577.233,157.204,-2,-0.0922783,0.172043,43.5539,-857.954,14.9828,6.0902,225.656,232.301,-3,-0.0147705,0.000610352,0.00518799,0.00402832,-0.0876465,0.0032959,0.000488281,0.0045166,0.00445557,0.00689697
2,7,-5.11162,-7.53298,-563.093,-233100,250845,2388.75,579.478,156.963,-2,-0.1863,0.340907,83.4253,-2380.86,29.1954,11.7766,225.65,223.461,-3,-0.0187378,0.00201416,-0.235535,0.00378418,-0.065918,0.000854492,0.00152588,0.000610352,0.00177002,0.00567627
