Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Imported Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,-5.75389,-4.96367,-566.832,-101315,511220,843.464,1035.89,-78.2602,-2,-0.181258,0.333614,82.7218,-2074.02,28.7663,11.6824,225.652,226.928,-3,-0.0968018,-0.0248413,-0.0497437,-0.12738,0.00231934,0.00250244,-0.000854492,0.00128174,0.00726318,0.00726318
1,1,-4.71925,-5.22921,-566.327,-100221,511347,1579.15,1036.92,-80.0329,-2,-0.171561,0.328888,88.9396,-295.679,29.6984,12.6137,225.666,248.676,-3,-0.0864258,-0.0234985,-0.156982,-0.0675659,-0.0181885,0.000732422,0.000549316,0.00268555,0.00537109,0.00488281
1,2,-5.40254,-5.06782,-566.847,-100424,510616,1085.06,1034.8,-79.8376,-2,-0.120682,0.227275,59.0331,-779.061,20.0736,8.3126,225.66,238.803,-3,-0.0958252,0.0105591,-0.23053,0.000610352,-0.026123,-0.000671387,0.000427246,0.00195313,0.00762939,0.00750732
1,3,-5.5787,-5.49707,-566.484,-101020,510653,1748.77,1035.44,-78.6722,-2,-0.211813,0.394362,100.458,-1818.91,34.4944,14.2325,225.657,233.894,-3,-0.204407,0.0116577,-0.255432,0.0137939,-0.024292,0.00189209,0.000366211,0.00195313,0.00585938,0.00549316
1,4,-5.49032,-5.10685,-565.977,-100370,510598,1335.3,1036.15,-79.6616,-2,-0.148291,0.280215,73.471,-797.779,24.8807,10.3835,225.661,241.142,-3,-0.0204468,0.00439453,-0.311951,-0.015686,-0.0179443,0.0010376,-6.10352e-005,0.00274658,0.00634766,0.00720215
1,5,-5.34894,-4.90804,-566.296,-101411,509923,953.191,1034.45,-77.9222,-2,-0.176721,0.32122,77.3412,-2543.08,27.2781,10.9002,225.647,219.119,-3,0.21106,0.0239258,-0.361267,-0.0267944,-0.00891113,0.0020752,0.000610352,0.00152588,0.00299072,0.00939941
1,6,-4.96204,-5.31568,-566.85,-100091,510083,1170.95,1033.86,-80.4255,-2,-0.164315,0.311116,81.994,-786.117,27.704,11.6064,225.662,242.413,-3,0.161987,0.0205688,-0.345947,-0.0403442,0.013855,0.000915527,0.000549316,0.00231934,0.00860596,0.00286865
1,7,-5.66645,-4.91961,-567.886,-100404,510355,1558.8,1032.69,-80.1975,-2,-0.131894,0.249049,65.1205,-751.494,22.0778,9.1865,225.661,240.46,-3,0.175598,0.022522,-0.154602,0.0706177,0.0262451,0.00299072,6.10352e-005,0.00213623,0.00378418,0.00726318
1,8,-5.28448,-5.08018,-567.55,-100459,511796,880.412,1035.76,-79.9947,-2,-0.176727,0.325485,80.8066,-1999.69,28.0829,11.4093,225.652,227.253,-3,0.101868,0.00469971,0.16626,0.0911255,0.0125732,0.000976563,-0.000427246,0.00378418,0.00671387,0.00964355
1,9,-5.62482,-5.00182,-565.935,-102143,511014,1515.29,1036.96,-76.5142,-2,-0.13013,0.253394,70.4882,236.955,23.2308,9.97836,225.67,255.362,-3,-0.00970459,-0.00500488,0.447388,0.0730591,0.0203247,0.00158691,0.000305176,0.0012207,0.00244141,-0.00231934
2,0,-5.58033,-5.04774,-569.306,-99488.4,510628,1051.28,1030.93,-82.2462,-2,-0.154663,0.272604,60.6622,-3335.4,22.2434,8.48991,225.633,197.017,-3,-0.0263062,-0.00823975,0.479675,0.0670166,0.0385742,0.000305176,0.000793457,0.0022583,-0.00012207,0.00390625
2,1,-5.56853,-4.891,-566.327,-100226,509956,971.652,1034.46,-80.0248,-2,-0.206823,0.390967,102.873,-1026.87,34.792,14.5965,225.662,242.018,-3,-0.00634766,-0.00164795,0.420227,0.00280762,0.0237427,0.000305176,0.000305176,0.00164795,0.00793457,0.00402832
2,2,-5.50078,-4.95523,-565.978,-100684,511745,1000.8,1038.18,-79.107,-2,-0.120122,0.226346,58.8586,-760.062,20.0036,8.28799,225.66,239.087,-3,-0.0139771,-0.000854492,0.335571,0.0308838,0.0148926,0.00012207,0.000732422,0.00213623,0.00390625,0.00933838
2,3,-5.83607,-4.76609,-567.704,-100891,510345,1118.09,1032.96,-79.282,-2,-0.198911,0.363404,88.6492,-2604.56,31.073,12.5211,225.65,222.62,-3,-0.0189819,-0.00256348,0.233521,-0.000793457,0.00500488,0.00164795,0.000488281,0.00140381,0.00561523,0.00506592
2,4,-5.88134,-5.26965,-566.497,-100438,510343,1739.9,1034.88,-79.7034,-2,-0.130506,0.25579,72.0484,450.701,23.6128,10.2069,225.672,258.256,-3,0.00836182,-0.00897217,0.152466,0.0455933,-0.00299072,6.10352e-005,0.000366211,0.00268555,0.00726318,0.010376
2,5,-5.44841,-4.89633,-567.543,-100454,510771,964.451,1033.97,-80.0011,-2,-0.174945,0.317035,75.7782,-2641.41,26.8217,10.6738,225.646,217.143,-3,0.00427246,0.00476074,0.0239868,-0.00115967,-0.0120239,0.00250244,0.00170898,0.00201416,0.00354004,0.00518799
2,6,-5.48695,-5.08569,-566.498,-100125,509908,1713.75,1034.11,-80.2568,-2,-0.18785,0.350125,89.3196,-1584.06,30.6454,12.6398,225.657,234.265,-3,-0.0291748,0.00488281,-0.0548706,-0.00616455,-0.0258789,0.000305176,0.000366211,0.00134277,0.00854492,0.00579834
2,7,-5.41087,-5.13267,-567.035,-99760.9,510881,1586.75,1034.97,-81.0657,-2,-0.140299,0.261915,66.8704,-1172.32,22.9271,9.42827,225.657,234.469,-3,-0.0234375,0.0157471,-0.0737915,-0.029541,-0.0239868,0.00189209,0.00262451,0.00292969,0.0043335,0.00616455
2,8,-5.83015,-4.9034,-566.836,-100876,510137,919.306,1033.97,-79.0365,-2,-0.194286,0.354942,86.5605,-2549.7,30.3443,12.2226,225.649,222.544,-3,-0.010376,-0.0078125,-0.0874023,-0.0348511,-0.0112915,6.10352e-005,-0.000549316,0.00177002,0.00701904,0.00646973
2,9,-5.62564,-4.94813,-567.516,-101510,510961,1334.56,1034.35,-78.1325,-2,-0.140718,0.261812,66.3514,-1288.45,22.8288,9.35126,225.656,232.581,-3,-0.0130005,0.00219727,-0.114136,-0.0187988,-0.0247803,0.000671387,0.00115967,0.00372314,0.00628662,0.00500488
3,0,-5.45758,-4.69868,-567.023,-100069,510899,1689.92,1035.02,-80.5196,-2,-0.159295,0.286397,67.0826,-2711.02,23.978,9.42477,225.643,211.587,-3,0.0221558,-0.00152588,-0.121338,-0.0576172,-0.0211182,0.000854492,0.000366211,0.00262451,0.00604248,0.0065918
3,1,-5.27974,-4.97086,-568.025,-101650,510597,1937.85,1032.9,-78.0469,-2,-0.17403,0.328637,86.1724,-934.298,29.1862,12.2026,225.661,241.158,-3,0.0045166,-0.0147095,-0.187988,-0.0357056,-0.0197754,0.000244141,0.000427246,0.00286865,0.00579834,0.00640869
3,2,-5.44037,-5.10496,-567.373,-100761,511009,-18.9705,1034.66,-79.4071,-2,-0.12634,0.241527,64.7625,-348,21.7019,9.14406,225.665,246.627,-3,-0.00799561,-0.00689697,-0.215271,0.00439453,-0.0045166,0.00134277,-0.000549316,0.00146484,0.00488281,0.00567627
3,3,-5.51249,-4.85253,-566.99,-101823,509785,-57.2158,1033.11,-77.4149,-2,-0.179293,0.327698,79.9455,-2347.14,28.0183,11.2781,225.65,222.641,-3,-0.0910645,-0.024353,-0.254089,0.000549316,0.00427246,0.000976563,0,0.0012207,0.0057373,0.00561523
3,4,-5.67269,-4.80834,-568.164,-102984,510585,2289.79,1032.66,-75.7425,-2,-0.135967,0.26298,72.2328,27.7318,23.9435,10.224,225.669,252.384,-3,-0.169556,-0.0140381,-0.264832,-0.039856,-0.0043335,0.000488281,0.000488281,0.00286865,0.00848389,0.0067749
3,5,-5.56822,-5.08169,-566.64,-101669,510044,1160.05,1034.12,-77.5764,-2,-0.143384,0.269689,69.9955,-937.196,23.8153,9.88179,225.66,238.611,-3,-0.249451,0.0241699,-0.221863,-0.0437012,0.00708008,0.00146484,0.000488281,0.00341797,0.00646973,0.00799561
3,6,-5.61724,-4.95456,-566.135,-101144,510603,963.329,1035.91,-78.3422,-2,-0.1949,0.360835,90.7202,-1947.65,31.3423,12.8327,225.655,230.531,-3,-0.212341,0.0388794,-0.148193,-0.00854492,0.00726318,0.000427246,-0.000244141,0.00152588,0.0112915,0.00811768
3,7,-5.77892,-5.25677,-567.199,-99922.3,509046,1461.72,1031.47,-80.832,-2,-0.172952,0.32428,83.7444,-1226.18,28.5658,11.8478,225.659,237.358,-3,-0.0970459,0.0123291,-0.101868,0.0488892,-0.00720215,0.000488281,0.000427246,0.00384521,0.0057373,0.0065918
3,8,-5.41847,-4.84177,-568.54,-101970,511096,2154.07,1032.96,-77.6449,-2,-0.165608,0.302977,74.0263,-2143.63,25.9227,10.4334,225.65,223.042,-3,0.244385,-0.0022583,-0.106384,0.0304565,0.000854492,0.0012207,0.000915527,0.00274658,0.00445557,0.00537109
3,9,-5.55499,-5.18604,-569.125,-100794,510762,-1607.3,1031.45,-79.8972,-2,-0.14591,0.276534,72.9463,-683.073,24.6334,10.3107,225.662,242.636,-3,0.171021,-0.00439453,-0.0836182,-0.0334473,0.0125122,0.000183105,0.00012207,0.00231934,0.00689697,0.00970459
4,0,-5.86549,-4.67753,-568.021,-100968,510333,4327.59,1032.44,-79.2464,-2,-0.155146,0.284929,70.1929,-1879.56,24.4813,9.88932,225.651,225.223,-3,0.0463257,0.00445557,-0.0639648,0.0285034,0.00622559,0.000610352,0.00152588,0.000610352,0.0174561,0.00970459
4,1,-5.40572,-4.88731,-566.452,-103788,510757,-3085.73,1035.68,-73.7747,-2,-0.20208,0.364047,85.8834,-3300.89,30.5981,12.1089,225.644,213.566,-3,0.0454712,-0.00897217,-0.0685425,-0.0528564,0.00598145,0,0.00109863,-0.000976563,0.003479,0.00640869
4,2,-5.62375,-4.94882,-568.388,-100907,509963,2178.66,1031.21,-79.4676,-2,-0.139141,0.266821,72.0661,-261.056,24.0722,10.1937,225.666,248.378,-3,0.0441895,0.0136719,-0.0393066,-0.0655518,0.00531006,0.00128174,-0.0012207,0.00244141,0.00140381,0.00408936
4,3,-5.62769,-5.24071,-568.57,-101161,511020,1498.94,1032.78,-79.0779,-2,-0.147026,0.275193,70.6961,-1128.61,24.1699,9.97807,225.658,236.036,-3,0.0435791,0.0297852,-0.107117,-0.0743408,0.0155029,0.00244141,0.000732422,0.00183105,0.00799561,0.000610352
4,4,-5.84795,-5.27129,-567.355,-102303,510582,-2075.33,1033.93,-76.6838,-2,-0.180153,0.342419,91.0365,-677.557,30.6381,12.9061,225.663,244.557,-3,0.0401611,0.0327148,-0.135132,-0.0453491,0.0137329,-0.000244141,0.00012207,0.00231934,0.00323486,0.00390625
4,5,-5.63693,-4.58268,-568.405,-100874,509265,-566.522,1029.95,-79.5316,-2,-0.105308,0.194437,48.2589,-1197.79,16.762,6.75769,225.653,227.18,-3,0.0419312,0.000610352,-0.140076,-0.060791,0.0126343,-0.00012207,0.000610352,0.00231934,0.00836182,0.00933838
4,6,-5.75131,-4.74183,-567.85,-102074,510661,1117.48,1033.29,-77.2438,-2,-0.174309,0.328568,85.8264,-1011.72,29.1206,12.1513,225.661,240.212,-3,0.0388794,-0.00384521,-0.0604248,-0.0448608,0.0299072,-0.000183105,-0.000366211,0.00177002,0.0045166,0.00714111
4,7,-5.55804,-4.82435,-567.002,-101081,509442,469.171,1032.48,-78.7273,-2,-0.150907,0.28526,74.8625,-795.875,25.3417,10.5831,225.661,241.369,-3,0.052063,0.00354004,0.12146,-0.0407715,0.0355225,0.00128174,0.00146484,0.00311279,0.00366211,0.00463867
4,8,-5.57354,-4.92518,-567.507,-102003,510695,772.682,1033.89,-77.2618,-2,-0.163802,0.310887,82.3395,-689.457,27.7572,11.6581,225.663,243.627,-3,0.0663452,-0.0067749,0.199646,0.0500488,0.0634766,0.00201416,0.000915527,0.00170898,0.00665283,0.00695801
