Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,-5.11935,-5.59854,-563.771,-28684,454520,56.6823,940.214,-206.121,-2,-0.244328,0.457827,118.371,-1698.21,40.367,16.805,225.659,237.654,-3,0.0043335,0.00469971,0.127991,-0.0330811,-0.019104,0.00140381,0.00256348,0.00268555,0.0020752,0.00738525
1,1,-5.07646,-5.32387,-564.967,-29174.5,454015,503.687,937.613,-205.361,-2,-0.256617,0.482892,126.02,-1514.6,42.7904,17.9064,225.66,239.981,-3,0.0874634,-0.00292969,0.108032,-0.072876,-0.0245972,-0.00012207,-0.000488281,0.0022583,0.00628662,0.00634766
1,2,-4.846,-5.64471,-565.301,-29778,453436,27.4519,936.113,-204.324,-2,-0.278372,0.514518,129.184,-2818.41,44.6718,18.3315,225.654,230.183,-3,0.0791626,-0.00213623,0.0808716,-0.0895386,-0.0179443,0.000610352,0.000366211,0.00256348,0.00787354,0.00793457
1,3,-5.02246,-5.32068,-564.593,-29865.7,453015,751.149,936.374,-204.102,-2,-0.234884,0.433841,108.649,-2442.53,37.6121,15.3938,225.654,229.519,-3,0.0673218,-0.000549316,0.0556641,-0.0379028,-0.000854492,0.000183105,0.00170898,-0.0032959,0.0109253,0.00396729
1,4,-5.33821,-5.77358,-564.271,-29516.8,454503,469.691,939.468,-204.69,-2,-0.278046,0.514953,129.876,-2682.8,44.8153,18.4338,225.655,231.343,-3,0.0696411,0.00457764,0.0400391,0.0287476,0.00500488,0.000427246,0.000427246,0.000732422,0.00408936,0.0065918
1,5,-5.2475,-5.61251,-563.406,-29429.7,454503,21.2472,940.706,-204.765,-2,-0.235822,0.438232,111.25,-2111.94,38.2653,15.7742,225.656,233.016,-3,0.0737915,-0.0192261,0.00372314,0.0712891,0.00866699,0.000488281,0.00115967,0.00341797,0.00335693,0.00604248
1,6,-5.16947,-5.28073,-565.331,-28693.1,454557,349.927,938.054,-206.245,-2,-0.265528,0.491722,123.959,-2575.48,42.7818,17.5873,225.655,231.223,-3,0.0548096,0.00750732,-0.02771,0.0701904,0.00860596,0.00152588,0.000305176,0.00274658,0.00537109,0.0101318
1,7,-4.9006,-5.94224,-564.975,-29159.5,454336,271.58,938.17,-205.388,-2,-0.247321,0.465268,121.323,-1482.56,41.2099,17.2332,225.66,239.78,-3,0.0343018,0.0252686,-0.0158691,0.0131836,0.0305786,0.00195313,0.000427246,0.00183105,0.00524902,0.00421143
1,8,-4.99876,-5.75974,-565.5,-29000.7,454910,592.052,938.437,-205.717,-2,-0.218837,0.419299,113.467,-358.303,37.8846,16.1311,225.666,248.842,-3,0.0547485,0.00695801,-0.101135,-0.0022583,0.0231934,0.00140381,0.000610352,0.00445557,0.00396729,0.00567627
1,9,-4.95382,-5.67558,-564.618,-29380,454752,738.082,939.415,-204.965,-2,-0.275333,0.507443,126.579,-2975.88,43.9068,17.9542,225.653,228.49,-3,0.137146,0.00402832,-0.0985107,-0.0358276,0.0245361,0.000915527,0.000366211,-0.000671387,0.00378418,0.00415039
2,0,-5.06686,-5.67153,-563.939,-28633,453581,253.282,938.308,-206.227,-2,-0.257636,0.479086,121.864,-2251.31,41.8794,17.2939,225.656,233.526,-3,0.204834,0.000244141,-0.0601196,-0.0568237,0.0230103,0.000976563,0.00158691,0.0020752,-0.0022583,0.010498
2,1,-5.34834,-5.34117,-564.617,-29593.7,455112,505.311,940.055,-204.586,-2,-0.272247,0.499669,123.453,-3211,43.0187,17.5007,225.652,225.99,-3,0.293091,0.00653076,-0.0370483,-0.0495605,0.0111084,0.0012207,-0.00335693,0.0020752,0.00915527,0.000610352
2,2,-4.99505,-5.55559,-564.646,-28547.4,454993,-37.0766,939.803,-206.442,-2,-0.258293,0.48248,123.945,-1979.14,42.397,17.5984,225.658,236.032,-3,0.309021,0.0012207,-0.0158691,-0.0527344,0.0264282,0.00152588,0.00189209,0.00421143,0.00732422,0.00598145
2,3,-4.9148,-5.93853,-565.683,-28834.1,455348,429.266,938.952,-206.028,-2,-0.240952,0.442659,109.528,-2806.84,38.1361,15.5118,225.652,226.373,-3,0.374329,0.00842285,-0.0512695,-0.0139771,0.00506592,0.000671387,0.000915527,0.00164795,0.00665283,0.00628662
2,4,-4.78625,-5.08857,-563.756,-29233.9,455552,92.9313,942.065,-205.144,-2,-0.291068,0.532016,130.249,-3701.87,45.5886,18.4649,225.65,223.579,-3,0.287659,0.0119019,-0.0741577,-0.00695801,0.00189209,0.00109863,0.00140381,0.0032959,0.00396729,0.00769043
2,5,-4.6971,-5.23989,-564.973,-28996.4,454973,480.252,939.3,-205.677,-2,-0.237136,0.445019,115.411,-1567.6,39.3005,16.3832,225.659,238.417,-3,0.108582,-0.0115356,-0.0636597,0.00598145,0.00164795,0.000671387,0.0012207,0.0022583,0.00286865,0.00683594
2,6,-5.13755,-5.60628,-563.8,-27991.8,456186,-137.584,943.127,-207.352,-2,-0.258797,0.476312,118.401,-2890.88,41.1367,16.783,225.653,227.584,-3,-0.0326538,-0.000549316,-0.0228271,0.0166016,0.00384521,0.00219727,-0.000488281,0.00109863,0.00378418,0.00958252
2,7,-4.95819,-5.72476,-565.328,-29073.7,455291,437.492,939.357,-205.572,-2,-0.256056,0.481963,125.846,-1495.61,42.7204,17.8818,225.661,240.116,-3,-0.241882,-0.0150146,0.0120239,0.0405884,0.00219727,-0.0010376,0.000671387,0.00268555,0.00958252,0.00512695
2,8,-4.68502,-5.71401,-564.788,-29343.8,454093,650.674,938.005,-205.045,-2,-0.255668,0.471038,117.355,-2796.13,40.7289,16.635,225.653,228.174,-3,-0.321167,-0.0279541,-0.010498,0.0167236,0.00311279,0.00219727,0.000732422,0.00262451,0.00500488,0.0101929
2,9,-4.9102,-6.00251,-563.068,-29196.4,455443,222.194,942.86,-205.148,-2,-0.27814,0.515286,130.05,-2663.33,44.8605,18.4591,225.655,231.521,-3,-0.25531,-0.0163574,0.0199585,-0.0213623,0.00146484,-0.000854492,0.000366211,0.00396729,0.00598145,0.00842285
3,0,-4.71241,-5.70578,-565.026,-27350.4,456356,467.675,941.672,-208.595,-2,-0.245359,0.461485,120.279,-1483.98,40.8642,17.0835,225.66,239.662,-3,-0.270386,-0.0211182,0.026123,-0.0432129,-0.0223999,0.000549316,0.000610352,0.00305176,0.00457764,0.00341797
3,1,-4.52305,-5.68191,-563.781,-28322.4,455469,145.771,941.883,-206.764,-2,-0.253661,0.468687,117.524,-2603.52,40.6624,16.6635,225.654,229.847,-3,-0.159058,-0.0125122,0.00793457,-0.0284424,-0.020813,0.00134277,-0.000549316,0.00292969,0.0088501,0.00848389
3,2,-4.8814,-5.59441,-564.815,-28799.3,456051,525.729,941.434,-206.011,-2,-0.253529,0.474052,122.029,-1885.57,41.7011,17.3256,225.658,236.548,-3,-0.14563,-0.00012207,-0.00634766,-0.0466919,-0.017395,0.00140381,0.000793457,0.00494385,0.00396729,0.00854492
3,3,-4.6987,-5.43664,-563.933,-29229.3,455644,110.46,941.976,-205.169,-2,-0.231059,0.43087,110.2,-1882.52,37.7706,15.6288,225.657,234.917,-3,-0.252869,-0.0010376,0.000671387,-0.0446167,-0.0101318,0.00012207,0.000671387,0.000671387,0.00231934,0.00714111
3,4,-4.92597,-5.51992,-565.358,-28275,456519,-145.802,941.488,-206.987,-2,-0.267112,0.492044,122.576,-2923.64,42.5443,17.3813,225.653,228.148,-3,-0.266479,-0.00115967,-0.0487061,0.00476074,0.00604248,0.00158691,0.000793457,0.00360107,0.0078125,0.00616455
3,5,-4.62024,-5.67546,-564.831,-28170.4,456083,362.753,941.468,-207.126,-2,-0.249842,0.468915,121.675,-1635.97,41.4245,17.2803,225.66,238.555,-3,-0.28241,0.00170898,-0.0355835,0.0360107,-0.000732422,0.000793457,0.000976563,0.00189209,0.00469971,0.00579834
3,6,-4.83953,-5.69377,-564.474,-28742.7,456511,216.19,942.736,-206.081,-2,-0.260291,0.478434,118.577,-2986.83,41.2564,16.8061,225.652,226.811,-3,-0.26239,0.00665283,-0.00494385,0.0688477,0.00769043,0.0012207,6.10352e-005,0.000671387,0.0022583,0.00738525
3,7,-4.80647,-5.75425,-564.132,-28310.8,456770,1054.18,943.687,-206.815,-2,-0.262623,0.480349,117.716,-3315.04,41.1793,16.6753,225.65,223.839,-3,-0.164246,-0.00653076,-0.0137329,0.0906982,-0.00396729,0.0012207,0.00012207,0.00152588,0.00494385,-0.00213623
3,8,-4.85431,-5.58173,-566.081,-27190.3,457318,305.705,941.868,-208.968,-2,-0.291911,0.535009,131.811,-3526.6,45.9954,18.6927,225.651,225.245,-3,-0.0183716,-0.0169067,-0.0579224,0.0419312,0.0153809,-0.000915527,0.000549316,0.00286865,0.00787354,0.00604248
3,9,-4.66927,-6.00395,-564.463,-29272,456901,406.381,943.443,-205.142,-2,-0.268606,0.494165,122.753,-3019.59,42.664,17.4044,225.652,227.401,-3,0.0271606,0.00384521,-0.0664063,-0.00775146,0.00335693,0.000610352,0.000183105,-0.00360107,0.00701904,0.0120239
4,0,-4.71964,-5.29504,-565.353,-28305.1,457060,226.428,942.45,-206.934,-2,-0.270852,0.501079,126.05,-2688.04,43.5477,17.8847,225.655,230.675,-3,-0.0298462,0.00817871,-0.0814819,-0.0320435,0.00805664,0.00146484,0.000854492,0.000671387,0.00427246,0.00646973
4,1,-4.84819,-5.26195,-564.645,-28838.7,457025,234.351,943.402,-205.926,-2,-0.257854,0.468723,113.201,-3629.01,39.8799,16.0207,225.648,219.942,-3,-0.0317383,0.00140381,-0.0950928,-0.0543213,-0.00201416,0.00183105,0.000915527,0.000854492,0.00396729,0.00622559
4,2,-4.68221,-5.47022,-565.158,-29118,457394,752.592,943.32,-205.478,-2,-0.243637,0.46333,123.568,-825.416,41.5368,17.5698,225.664,245.32,-3,0.0142212,-0.0125122,-0.143433,-0.053833,0.0296021,-0.000305176,0.000854492,0.00299072,0.00531006,0.00598145
4,3,-4.4222,-5.38329,-564.821,-28691.5,457539,537.872,944.061,-206.202,-2,-0.264597,0.492662,125.69,-2226.84,43.1345,17.8433,225.657,234.283,-3,0.0794678,0.00469971,-0.165833,-0.0861816,0.0227051,0.000427246,0.000854492,0.00012207,0.00744629,0.00610352
4,4,-4.54162,-5.94581,-565.18,-28371.2,456957,347.13,942.516,-206.802,-2,-0.246344,0.466575,123.4,-1075.73,41.6406,17.5402,225.663,243.283,-3,0.0247192,-0.00537109,-0.166626,-0.0783691,-0.00744629,-0.000183105,-0.00134277,0.000244141,0.00921631,0.00775146
4,5,-4.72599,-5.85366,-565.886,-28100.4,457613,512.516,942.667,-207.343,-2,-0.233813,0.434815,110.553,-2055.18,37.9976,15.6755,225.656,233.41,-3,-0.0452271,0.0114136,-0.187744,-0.0654297,-0.0133667,0.000549316,0.00140381,0.000793457,0.00360107,0.00738525
4,6,-4.4414,-5.87583,-566.069,-28210,459550,231.861,945.828,-207.165,-2,-0.254647,0.473777,120.645,-2195.27,41.4388,17.1202,225.657,233.804,-3,-0.072937,0.00610352,-0.209534,-0.0319824,-0.015625,0.00170898,0.00146484,0.00292969,0.00366211,0.00500488
4,7,-4.46568,-6.13748,-564.999,-28969.4,458097,374.788,944.792,-205.727,-2,-0.259635,0.476106,117.363,-3123.15,40.9399,16.6289,225.651,225.389,-3,-0.0628052,0.0183105,-0.1203,-0.00585938,-0.0147095,0.00201416,0.000427246,0.00189209,0.00854492,0.00250244
4,8,-4.63761,-6.37666,-565.359,-28390.8,457664,745.404,943.511,-206.783,-2,-0.227015,0.437197,119.549,-80.6594,39.7274,17.0096,225.668,251.325,-3,0.188843,0.0133667,0.0209961,0.0266724,-0.0129395,0.0012207,0.000244141,0.00231934,0.00793457,0.00445557
4,9,-4.51389,-6.10462,-564.664,-28735.2,458732,82.9863,946.399,-206.111,-2,-0.271595,0.499474,123.972,-3075.63,43.1046,17.5781,225.652,227.191,-3,0.268311,0.0363159,0.157959,0.0366821,-0.00524902,-0.000976563,-0.000244141,0.00012207,0.00592041,0.00836182
5,0,-4.64793,-5.39118,-564.493,-28249.2,458430,341.605,946.11,-206.956,-2,-0.274406,0.510515,130.042,-2355.54,44.6619,18.4648,225.657,233.886,-3,0.26886,0.0292358,0.212158,0.057373,-0.00341797,0.000427246,0.00164795,0.00299072,0.00830078,0.0067749
