Devices
1000
,,FP1 - New - Force,,,FP1 - New - Moment,,,FP1 - New - CoP,,,FP2 - Old - Force,,,FP2 - Old - Moment,,,FP2 - Old - CoP,,,Analog EMG - Voltage,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V
1,0,0.99287,-0.315114,-571.613,110610,-103972,2039.36,-47.8915,-450.504,-2,-0.105703,0.209627,60.2152,646.119,19.5582,8.51363,225.675,262.73,-3,0.0472412,0.000732422,-0.00537109,0.00750732,-0.00811768,0.000671387,0.00109863,0.000976563,0.00579834,0.00598145
1,1,1.03084,-0.334062,-573.375,111581,-103913,2204.38,-47.2306,-451.604,-2,-0.132208,0.240085,57.4973,-1973.88,20.3247,8.06591,225.647,217.67,-3,0.0488281,0.00189209,0.0150757,0.0122681,-0.00720215,0.00115967,0.000915527,0.000671387,0.00280762,0.012085
1,2,0.797255,-0.465567,-571.204,107856,-104672,1146.09,-49.2483,-445.823,-2,-0.129337,0.252167,70.3133,275.19,23.1484,9.95411,225.671,255.914,-3,0.00323486,0.00756836,0.0116577,0.0118408,-0.0057373,-0.000488281,0.00012207,0.00427246,0.00183105,0.00793457
1,3,1.06863,-0.382668,-569.103,108157,-106296,2144.29,-52.7774,-447.048,-2,-0.126992,0.241722,64.2441,-483.37,21.6159,9.06669,225.664,244.476,-3,-0.0200195,0.0113525,-0.0264893,0.00592041,-0.00909424,0.000671387,0.0012207,0.00354004,0.0020752,0.0043335
1,4,0.792004,-0.445648,-570.154,107890,-104756,1948.44,-49.7333,-446.23,-2,-0.124387,0.24414,68.917,465.653,22.5633,9.758,225.673,258.757,-3,-0.0354004,0.00183105,-0.0478516,0.0078125,-0.00628662,0.00109863,-0.000793457,0.00109863,0.00469971,0.00756836
1,5,0.388299,-0.421152,-570.45,112669,-104319,1971.53,-48.871,-454.509,-2,-0.0937813,0.180561,48.9283,-138.818,16.3096,6.87708,225.667,249.163,-3,-0.0333862,-0.00518799,-0.0285645,0.00744629,-0.00787354,0.000244141,0.000854492,0.00354004,0.0045166,0.00421143
1,6,0.652312,-0.621174,-570.286,113252,-104730,2161.37,-49.6437,-455.587,-2,-0.134549,0.248397,61.8338,-1487.01,21.4548,8.69877,225.653,227.952,-3,-0.0222168,0.00378418,-0.0147705,0.0057373,-0.00720215,0.00115967,0.0010376,0.00128174,0.00317383,0.00634766
1,7,1.18151,-0.748883,-577.302,113761,-105243,-3801.29,-48.3014,-454.056,-2,-0.11911,0.235483,67.3467,655.878,21.9205,9.53693,225.675,261.739,-3,-0.0155029,0.00268555,-0.0106812,0.00689697,-0.00671387,0.000305176,0.000671387,0.00280762,0.00415039,0.00128174
1,8,0.818071,-0.266709,-569.905,112287,-104653,2919.87,-49.6332,-454.028,-2,-0.105267,0.198002,51.2043,-732.061,17.4435,7.19052,225.659,237.703,-3,0.0255737,-0.00372314,0.0317383,0.00683594,-0.00720215,0.00146484,0.0012207,0.00183105,0.00274658,-0.0012207
1,9,0.426467,-0.319809,-570.885,112530,-88729.9,2098.41,-21.4252,-454.116,-2,-0.160517,0.293918,71.9366,-2050.31,25.1691,10.1357,225.65,223.498,-3,0.0587769,0.00695801,0.0598145,0.00708008,-0.00750732,0.000610352,0.00012207,0.00238037,0.0045166,0.00561523
2,0,0.849077,0.418174,-570.957,115682,-118539,1341.82,-73.6154,-459.61,-2,-0.107754,0.210545,58.8333,259.482,19.3456,8.30684,225.671,256.41,-3,0.0812988,-0.00476074,0.0690308,0.0123291,-0.0134888,0.000793457,0.0010376,0.00402832,0.0112305,0.000915527
2,1,0.224246,-0.213516,-570.099,119085,-102224,1905.15,-45.3089,-465.884,-2,-0.107834,0.201282,51.2096,-943.665,17.5801,7.18661,225.657,233.573,-3,0.0888672,-0.000305176,0.0657959,0.0090332,0.00616455,0.00164795,0.00128174,0.00170898,0.00195313,0.0065918
2,2,0.582825,-0.599484,-569.289,107755,-104780,1326.94,-50.0541,-446.279,-2,-0.140398,0.266512,70.5092,-609.459,23.7771,9.96271,225.663,243.356,-3,0.0899658,-0.00866699,0.0651855,0.0137329,0.0245361,0,-0.000366211,0.0032959,0.00482178,0.00463867
2,3,1.18838,-0.0614554,-570.5,101428,-107750,1063.96,-54.8698,-434.788,-2,-0.0989183,0.189253,50.6715,-290.332,16.9851,7.12382,225.665,246.27,-3,0.100342,0.0118408,0.0648193,0.0166626,0.0594482,-0.000183105,0.00128174,0.00305176,0.00244141,0.00396729
2,4,0.667431,-0.462867,-569.176,109543,-101229,1543.36,-43.8511,-449.459,-2,-0.147574,0.267592,63.9397,-2234.38,22.6304,8.9844,225.646,217.055,-3,0.0535278,-0.00158691,0.0610352,0.00854492,0.112244,0.00146484,6.10352e-005,0.0022583,0.00189209,0.00665283
2,5,0.577517,-0.29062,-571.352,114851,-109097,877.008,-56.9458,-458.017,-2,-0.128391,0.242445,63.3806,-734.637,21.4892,8.93727,225.661,240.409,-3,0.0169678,0.00518799,0.0621948,-0.00341797,0.118164,-0.00012207,0.000366211,0.00256348,0.00396729,0.00750732
2,6,0.469316,-0.411452,-569.887,111201,-106590,964.476,-53.0366,-452.128,-2,-0.119506,0.219387,53.8326,-1497.96,18.8044,7.55067,225.651,224.174,-3,0.00469971,-0.00128174,0.0584106,-0.0217285,0.114868,0.0010376,0.000915527,0.00158691,0.00305176,0.00469971
2,7,0.538363,-0.41051,-569.891,111201,-105318,1338.16,-50.803,-452.127,-2,-0.143384,0.269689,69.9955,-937.196,23.8153,9.88179,225.66,238.611,-3,-0.00231934,-0.0131226,0.0566406,-0.0204468,0.112061,0.0022583,0.0012207,0.00146484,0.00469971,0.00390625
